mapname,filesize,crc32ieee,md5,sha1,sha2_256,sha2_512,sha3_512
bhop_adventure_developercity_v10b,55445984,27ae2fca,955b77d58d538d062cc096f1827a4bba,f541b46577b1005ef5360f39f5c2b141d214fe9d,a77158cc5015d3fe46145f2dce7cda1d6b763ead6b099fe388161f898a5631a6,d3da412445501e2ad7ff4deecdd47bad1eb6ef662ecfd27b00b54c482711880216b2a9085a5b4b8748bf3eb35ac3a32766adb23bee3030aaf20b5aacfc67cc56,dbb02089ca0c523f5231d9d92ef95e86e84135105b1340d0a9ef59f26f811041baed95fab4a71671958f9cd66835cd64424a3cb564ca823d05b38ffd0ff42e37
bhop_flux_beta13_packed,4647663,68433597,8e7694c8cf1ae241dedf533c5e82097f,4f96e5f56ff25b5931bec0c46e48905ba7f81908,9553c88d56071f842545ac258ee1d2644abf4e4c6d7061ef0ccf2d0c8f42e75c,3ebfaced825b3a6e9de0db5a3dddf5c473542b1aaf5153ca3f6c9441284bc9dc091dbe2164229312f39d18cd7ecf12daab31053da25ff46e24aaa2426b2b131f,dd38d349cd96b777a4355a72a019c99a270c77644af28de7f77eaaa4b79091065fceb63609d0947d8eb3f1491f394188a27b49508b6804e4fb640b1b39aa3cc3
bhop_hopi_noproblem,15333185,3cadb16e,465bbe16d5df422eef59cbff061661ec,59cab34ae5575c258194da2dc71733df33cd3963,5ceadda465d5e0b6d73442c1b938954076a0766d4287541dc64a1a2dffeaee2c,03be97e023d89aa477c0107274073d67a75012acfbaebfa1d4d27365ea4061475dda898b3695612bccaab7214b64ec4f84acfe9eb7ea3444b79d6df8c0aa039b,c2be13df95738cc402573f5db82c917d2f701de8850e529dc97d8c4deef2ec23097d5678a173c49e857be96047242fc1429a659a73079a7830aad5fb177378c7
bhop_minecraft_ssj,511753,f1861f9a,8b4e6565129c26f5878717ea7be2a316,e1862af358f15354a5ed12dd181b3e1e649b360b,ef520f8535921fdb8cfb4b74bad654fdf19fb120026b90b3686ea13f7de56724,4e8fe6de3756dd18a3471e5b03262aea34b4a10d0b88e7c2efe265af3124e8c9e69e6ccd2baca82b8d374ce2d57038b909545813fb9fec9c3ed72b68ebbaaad3,5c9e9a24fe831a0a7bbcab05d1de5c49bf7a00da88d41b7555f75e903d0f592c2f19ab622fd0877129b2fd0231ba646a05897c73b202ea88f2fa423888c48023
bhop_museum_beta,78068544,833ca45d,43439b5a3be8b0fc20ce59d11d3d032e,6bba2b1d630ce55c90bbad96a0b88a707f59a283,471f366f88e0029259211f48a052a205741c788acebab1dbc34dd807e67ab479,94a1cf6b1d08993605549509ebb59ad957f4ca87be1b9f2774c1c0efac8043d1ed85978c503fa905b9f6b38572ceaf577ee099cad881eb8909d4f1c33b960d9c,6e117cc41e32ed6e79a11211e6c0cafca47e8f57c02d46313535ced45bcf631fc72d1d544ba06abdab75b073c3a5d44e4e5547f9332e47e7bbbb6790a7fb6c64
bhop_nervosity2_css,17302157,90db1cb9,648a8765a66ae5b6bd8905ea7e0ad4b6,1ff1fe25e8b5b7aed7989954c0baeb07091479f5,fece7961403c095868f25cfa782573af0ebd1a51ef55610d20be980c128517ef,da54463607f1f7072e24e7fc095f2a643e1a76909d3acafb3f71aecda231ff5be1f3dc28993cf65cc65820926bef0fd3de4259181fc57125d03f33d984196b59,bf6480e0174ea297d023f87570dab695d59a4fa30c712621b90ec3459d67488289281bab9f0a8e75eb62f6dab13ac9e4421094facf5dba8bf5e653a9f29946e5
bhop_puppeteer_beta9g2,16359264,553d373d,2b3dac6acde6531be6852ea6fcca7979,d1e2294e562c6da54e6b8025f8c20a792e790115,a4056e1837b4262309c6af343d76b8efa4a7e3701277105067622f9aaa28c0e0,7b70f931922304654af66d8e9efeebec07f15627ecb5faf6205721513b2b94751bdbbb9a8b9f074f706fdf7ed6ec7d27439244d680c2f0e56ff1ac62cfc6cc5f,81ca8a3dbcb05a4991d87155bb31515c4f3125f15b7dfa757dd2a94fdc634233f467b8c4e3d3cdc2e1786740cd66f8c94ab9471fde558bd0b8aef8cde03dbcdc
bhop_puppeteer_beta9kkk,19341834,b7d42e2f,24cb54f1e2f480c10b31e16364394b46,426ca8ad15dcdbed4ccdc0d5352b2803031a5c7c,6428ff4c1c92b4e81c8e439d2db4b2de65c3297d6b135495b43a38b2a73af2e4,aee0e5cbabf4ea14fceedfc15fe8bcf411d45d4974ad46f3448266d982ae691c99e571b6bd1c6708fb4f004dc8cdca522a405e0d855ed827ad68831c7a721aae,0fd9fe39a1c82b8d5c91f4de59610fdfdb55e6a3d907b0be7449fdda3d40e602557184755058d2f45bdce117e166714a49fadc9ed50b159345ec906316bbb305
bhop_rez,5771557,47d8fd52,4d376310368f4c4f0db837283f0ae0e8,e4a924a7ab28707f4bcc9b73b30563fb5b0bfcce,7f2e532e1d237f573dcbfdf39994843f6190cb8808f51c34e24e962d78287b24,8e637d2cb6dfadcee11ecbc3b4de5a8fe25cfd4b953f2ec628cfc05deed23255607adb946567622a718da31e09cd4ef137e11327cdf7f231dff474a80cc211ea,560162ad48ebf7d38c736f5a52c4a59169ae047ba7dd19fb9b492bd319b6d0f4394ff74b62bccbcc533424098f61c858a33587e5452567b656d7df9a4df0e7f0
bhop_shitpost,5643016,41a3367a,ea20515f47860f5f10b5c031dcec9873,0d5f7d5a2a6c51059971748f7fb232fce5764519,7f3b5e02926cac5da22d8f3f718627ecf39308a966091e797de6ac0a36084819,fa1984080d88e91dc5033d38dd403939bde0205c714be4f6db665f391e1541a212cf633ab2f3f12b729d5f7adb7360dc89ce28095ce5effc03a4b96d65e5bf13,e6fe41233bd71e7ac34bbf6dec3efdeb26069f82f5b7b55f04ac208ff68493ea0c1d4c020e9c0af8db10d39b6572ff023b3bd42a2dcecc7d843b16aa51a08df2
