mapname,filesize,crc32ieee,md5,sha1,sha2_256,sha2_512,sha3_512
$2000$_azaza,7277632,62d21c88,ddc3e6559b21cfc0bf8c383cc2f2ef84,a494df419f74ba05e68f8323c48779494273e9e2,69521df22efd7722e98b97b537f00cca1142256bae0b5e4150ec19efc2677c69,9dc96ff3b4b9939f06ec111c9eb5fbf640b1146fea9f5eed0ba2db379fa89fdea12b4318d0c6a01e6d26ada7731840b80504b0a5e75a10e2ce8242dc7051f8c2,9697f28b1f3b153364beb178027f378fb74f9352a3b60a68aa482eb72cec31dd6abff2572645585a39f776f816ff58ac078c7b5a203b599f63ed99d35b38c705
2hotels1map,10911760,fd054d73,77c8434d8749ceb282ab0dd7070d2d74,6a10ec24fe396f78ad680adb19a0d2e061783ff0,0fd3ae9e083faed25e8a431f4e0e9071d5590f6ec12fd6e6692ac29345450d31,daaa579e568d3bf3a3207ca97ed8ec467df2f000f8cbc2c7d875189b3e6292375c15f040b6b0a911d28fb59b730b6988720449825030695a087b5cbff0ea28bb,96e97d4bd9407b73883b9750765df93679bd0d9472688abb14c007b65b83104eb6feefb18cb4d4917436e8fc0dde99c2b806d874156dd17f00a8d7fb73e7acb8
333_perfection,210527,29103dc8,49f63932a547c7ce33eb05fc0496fd86,fd2b71b2730590dbe83115bf39d0e88c630e36e2,146f0052a4db775bd395f3ff1750f88576029eb04d2576dcb6ba18c0ccf203f6,3231d5eda40d9111a6073afa1afc5a8b3c97496a821143b0a2fa4637a2a7950f689df02d9cc7e1056483a0e5083aaf9897ba447b1936cc0890241595cc744f77,1089ce179ec1bb6ad915f33452eb8ed3034b7af208d5f9d07506276ce4945209c5a989232a314e0977048c9a85af15782bf2e299a357dc3cd40b4bc718bdd540
338,346118,e1452e54,9c6f851e46d421e1c73ac71ccfb8a434,7677b2c3daf05e2be466ff91956962adb77ff5b1,97130740fab754c49afef5e7c3f64626b874864cab86aa037f01bcccd9bcc47b,514fd4f8618355d41b883f56a2bcbad88561555f7c2f084041a439536cb65a68cd7d4210cc9dccec1d6843adef37c8f43ba2d5df319a6cb6bc4a6e5a648702b7,cd521f9f971eaefacbda3c7a9bea44a226690df52af66bada2adcca52ed14d112f67a14d722c1d21f6894603b8ed96c59fdc63b914bcab7bfb1d6c6ecb681b77
3mc_training_v2,1614072,a882144,7e691fa8587ac0936ec7f5f91f3b31c9,498b9f76058e65c135ad04c31492759a0dee6814,274f074de9435f6b97acdd0f59baa62ccbc0e10797139446f9b04bda48fe3f49,5f3f18c85ba2e9bd77f2b64410efe6b53940221159ccb5209871568318810754256aca13444d50270b6bd0f9bee04b0ab243ecd33ac80de41eb5cb093d6727c7,8638e0d6839ff163dd295d9be99923da0e9e32d907fc4b307f9d0cc681c65842d7e8951a9199ed3530612862e612c086250bb82983bd03ee97a5ea7a2230644b
66tbhop_spi_bon3r_a04,26734241,64db41a5,bd398a4a642837a99804582c0930b1f5,7960844d40dc570d8166991324dcb8b422f680dd,2d5a857e2162946c3cf4143b693f8afe02a4ff28b409b35e16f0a739fe26fe36,ef26a39e0c041a6ff90a3208efee9803d5a9c4cb7eb276eede37b0181fbaa15201964523a55631d805688e85836b110d4d18bb82f4574641f6387849649d2efc,302d8d4a0f862936053bb7fe420aeb02c1499925ebe22585b52680d95bec90f976cc9f5d517a41d9c5569a78c7a3618ff19b75f5c9cbe9a6bb3091d0b43c97d4
AnubisAxor_area_v1,1004320,db6198a,6e67ee496d55bd92d18e5532a8d58851,aa098457672600adefbd06f4f221d660697d7209,2b1c34f3ceede41a4e7c2d84462db544250a2a0a3c3e63f2adfe0c804c5be970,f12e8b84815e7b22b959e083a40feb05eeeeeeeef9c66ca607cdc57b2d170b9476b7d8dbf27f89c451db00b4ebc04674b7fade2f316d2d09d79c7c948c5be07d,ebbfeeab870759492b837846b3d2323206e675761ca9ebcd90822b5d52bca0838761c0f63f39c8f44dbfe7ea873f0be48f900af7837adb5a3a05f35f18b7e935
BHOP_ItsDark,496392,958ea5d2,9bfe7826cc8433d0d06690bcfcd3689f,c1683b59d5199862ff5ec9d74ada87f6a99dc7dc,7e4d1de815c32ea0cbb26fa61590fcf1c9ca6b3be4b4558cd52266b7cfd3b61a,26fcd4e5007314d1ee87a0dffb8e36f4d782619b42066733708584a3610a2a70d48ded2b4be024ac33d7facc9285b8dbab469d71ab26fff4a2f558f9c13544f1,fdb018384163c619ffc4e97071a0e62f342cee3380b6c5503e6205947c9e630df34908992f1bd135dd9102b143af042e308d9fc7c9b138d7d12aa5cf1ff046fc
Bhop_Frighten,612784,f20e64c9,67846a2e4bfd66fe2264f7a91ecefd8c,39e060b1ac852a1683f832be6cd62bd14262350a,32a2aefa513cb223ae28f0325f38264cf214f41777152bd1d3e774180b240431,9289713ff52ea2cd8e419d3013c821ed057dc0893a725b45ea5137d6b4a7a65a01d846facff6725541a10cae4958b504263b78c920eda5dab70c58d35a15b7ce,5144938ef24ad7c091eca25d15345eeefe8faffd243b966d5217de18ac39dcdc476b71cc19512368b67810439615a2ed673f05f0ae5910fc57721a1d907b583e
Bhop_easykaz,843592,ff92fdcf,b12ecba8d5f063f77fa19d66f836e179,9e04d58369576749ab2397aa7427d7b5c8f86028,7580e4a78a62b2d86ae3d777265cd4ba193f64a148c9bdfc842a52d94d974994,83b4692030ead1bcc48b568eb7d5039cdec22087286c84f8b1f081ff3fd9fa361594f3a3417f6671f1837f0d16ea23d43397384486632b1c879af31b544f9f91,9701a4a45944204592dbc417570b52138e9da36763564c6eb3e1f12c64a16c3e096f016cbdb3ae1f0fcd4f0a2e304eac0242b8cad6a2479a1ae1c4a150b81b6a
