mapname,filesize,crc32ieee,md5,sha1,sha2_256,sha2_512,sha3_512
Cs_StoneTower_v2,15007018,c34c5440,0f480ad91e09adf4ecf4050d7f73c74a,fa3fbec98782c629f6c70fb540fef44f15b29164,150cbe2b6d16a946073887ec0a02c1c18b5c3f9cb1b0bd0850ec037698dc1e05,318b731f7df7cbf24c52e868e26fc2086b13e82dc3a84250165d6e0c3037dc4fc8420e6f2776adb833e3700d4e01f321ef28210f7e297a356ffdaf5cedf09cfb,c6c245b90e81e57b990ed03e0547a3d241ac859bc5b41bc5ea6e61c515d8cf4db99d04217e31b21734ca82857afdbe04a5d9638b9108b1dcfbc6190d87fc2550
bhop_badges2,156609779,f7f7895a,6e5d22675a0029cbf2d274b256e9e44d,2f734be4595a0ed825938cdfaef06c85aaac29dc,512f184685337ad9f1ea2cdf71f1f8eb1a93c4cd9aafad97757935193d7a736a,596c138a54e3ffc8fba05e857fe6d83a5bf85aad5764815d36bf8f695ca370d364d22a35a96e8e5caae56ff0c3e8e3125b96f48d6cafb748797528220a949e99,8fe531436f57b7c2fdd5c2558a1635f77e1d0f64ae70cfca91eae5733face1e3398dd415f15269c56f4acbbdc9b05ee9b834edefe6d7565755059a4dcd3a1a50
bhop_kz_ninjablocks,19280571,20ffb04f,de888799aecbf130152e39ecf12d0cc9,f6ec6405ebcbb08f55d8dc7c3c7533773bf1c154,b29d6fa42b28015decfe025a0ebc3460a9ab50cf8f94852fc2c0671a4146ccd8,a5e76875827b24535888b41fb1de2de1262d66e0d3cd086e501ad093b8710ef003f76295eefed59abec470389d90df8ebb724c457028b9f066ddf1b6aa3470d6,35f9588421fa6421033207b1386d79250eb9d9e180ec53d0344cde8a67ef34bb3ed8da5811d91ab1053a922268fa536e3038230005ad0d202a274618efe09b48
bhop_slate,48550088,36adaaf9,19543b5d705de60ccd467a2e18c03860,93b5f9396d4207e7994b2d98a8b239c75466deea,d31c92f7f35f07f7fbed8f6b97aef04d186d34a0adcc84a59c7889c89ba95548,29893f2a3e58f3f304c88900d75aebc28324ed2980d291fde7ffc74a3f9e0ffb99492c9f1b0e4a3b9f625add5d4b029a9284c1dae662a6364bb2408ac490089d,48d656dc022e187624dab385f72933f99248154fb5cd97a5cffed5ef6f68711ee70f7e129c8373f1c82e446323da48ef5dcf49fef477b502abcf9522d07d2d88
climb_uber,2962040,28c65ea1,9043308abf806784f672564f13906883,e1cf439138159d420195e1ca8ea952a99d009692,e7731ffe7a091917c568605b13e828fdef2c87b718c235f31ebf91d2b811650c,97952acd896b99076731edc9cd0e059a365fcdf9b8ed13c075157e23bc9cf5015c7c6e6930baaf9bb7a4befc86e6ec597c9d3ce53fa0ffd0251073dace6130ea,ad9d19eb38f98cb4fcbeb1282d17376b0d3f7b6eb96894f96127b2aa3f26f47c67fdc3b6290335380fb33bcbc2efd027750642181f092d28b7e56f64e8132ca1
climbhigh3r,8578552,f28919b1,061ef8372c5ef46db30f48dcdde45bf0,540cc61041b263fae02a44d483bbea22d5e24056,4332d407b70cd0d78b833397ef9d1db5dc46a15e9ac8f56d3a6e7d4bbc372d73,a51fbad1b05b126131acd8d5e0f7b3f9b9d4a337fb83d21e8624833506e5d6f910df491aa017973c930b95a74a1fe8bd9e1fadb0d0c6499f2974d7284b8d2760,7051b65151dce6a6d3c973aa8bed8eae7a10e9dfb0daab026a50923e4aef731d94c5437c8b1aa888bb429a9201b7e824f3f8390bec0cd4bb7f98dadd5111fe48
kz1,10989886,de58a28b,da566b580bc2c4292273df13fa86801d,bff2149bf539495098af9166ada1c26a7f5a236f,94bc75ed0f65e3753c800056ff634ed5808aee0e238ff36cfb18a4a2c10f2515,464ebfdca574713a4404edd1334ac450f534991336a86a0bb03933d6cb6fd043c00a9309f0f47e5c7c53798abf401a3263727ab973a9acd83caf489c282bf5d4,06ecb9bb63c056133ee3a7d76f0cb962ed181ad53b7b0d0b857249a4382c8522092ee34d1fc218109ca7a2b8a1144789f7da16e2db1ac5e07b6fd923f61729d8
kz_2seasons_spring,106525947,4456eb4b,3c325da50e124898d1144bc1b0dcfe5c,c4978789aa14d5abd10d818d3ce0fa582909807d,ae4d321df0858e6f102040f41ceb42fbd55743de3738dcfce3d93f7b3267a8e6,919c42bd3c50d2afc5da14063520566a218cbace7362a9f8f1737e92bca7f13584bcce75507d1578ee2602e29733ed74940dba45dd09e26337192309dd5e7741,2dd997aab800f78148c63925070681d79c2c9959e96cce60ec0234b17a7e9fa18cece6de180ab1758600a8733e8a3ae0ede1c59689f960647a514d23cc8d45d5
kz_abstrangel_css,27594673,e052a5d6,61da091ae747058130d0e9c6aedd65b4,b9e7f173456bd361a5612e57ae2529d25f84e17d,f721b5d48b81fcd900771bee7661cafc57e2ff651d9ceb17118c43cff3d45849,5367a69626094277678597a825417fad2031504f33b454cc1145dbf035404faa81386cde9c626d8c376871c39d74718e78d89fe55250fc96de09c37363ae078c,f938023b7f0ae3354fd5d0ea844bbb3c53ecff8dc4a6bb59aac720a5858dea2bc020f819b91cd4a1ba3364ebd9af5e0bda3bf82fcf6ebbf7e9c39b31738bfabd
kz_adv_cursedjourney_v5,128184557,f4b325cf,7bedd1905ecd852d6523b99dbb002b59,f7e1b9e6820cb69ce5272549adb080f4cabf61e2,54b95efe5d90b11097056d9ff448b16ced4061c8d6381d643f3ef7815b2b7eb5,c4b1b5c18e53c043226483d282ac34f969ebd0c645160bf872938bde117b0cc9f97a3d9c9f5a8eaee9917e94c9fcf0632e6001e93304ff70a8004ccf8da140be,ab5d49eb5f06a3773e28f0f1d038860dfde64b75a1f2d1985fca0c03362d0fa0eeb1d3f89b439dde65befe1bce7e5063d5d696571b283174b0765dfbe24ea696
