mapname,filesize,crc32ieee,md5,sha1,sha2_256,sha2_512,sha3_512
bh_aztec,1625300,5b16cc95,f32d3b7cc697328ef166413797941768,39a13b3c78a60933c48283241f8edb163ff64c0d,c9cff2c33ea13f5673aa6aadf0826ce2bd146fca41f82c2ba75ab7e4f478bb35,3d4c37d04dd6004ea5f18dd8b94f40c96878e8d52bd5ee06d4c90a23725f5b7ea1fa4fb9773206f4432d89e45a9dfed867b8054ed91bd0b1ccd3085e93f72817,746631a030ca3c41e438bd53d93617ef26b552c9411266b82bbc33ffd6d40706e426990e11f060b609fcff942634df65c798b10ea77a43aa42d232367ab23531
bhop_YouJustGotTrolled,32246570,331be55c,4a7b19f7a9f99f76884ac7a257893489,e1bbe2e1441198671df7990d548d58be9aea1a98,77a92864679ce51d8bf87aab4876b9bd17afd11f80a0e2a2a5d3ef71109cc982,c3b1428cc3f451da2f842570a286759f32d509f60afd23c7d1740524a384e0d9f438a7c69930ef62300cd0bee51e21cbff00d68563c3f39d30fad54049b25abc,e887fc1a5fb3b417c70784ad8a98842522fbf35516da62b060ee1d98e4d7a0649504fc855b4cbbb3ef1348db520a52a946de0c82d935dd4c239d1bf4d22802ae
bhop_Zyper,63526192,2d12a2dd,2dd5ccdfb13bbea37ba1f2d5a9441214,593fb0d3fceba8ce646031db8652590f55feb0b9,c2e29e0528c006f0703f7516de21f4fa5fdbeea05241b0fd474ec03838547947,364fd2262275138abbf61cab02a2091116ad3ff072fcf98312d9c0ccf240d9ad5df89bf5b7966357a6342ae763278c249989b50efdc84d0e80fa8560cb9893d2,d9ef9e3241d5abbc6e518375136a400b7fa4d7256d674d8b92168d0ef7266a48ae172f736e29816bcd6ce21572e99b2e673bded1940e8c3e9a06f3670380da3b
bhop_choice,11601071,918c5776,072be6ec51adbc0c0a66e0462f17f32a,4b8154131857cf7da13475e61304f2424284bdbd,1a847e660e56baa83c31b680b45b3134a9daed384dbefe4f1cb553a3aaf5291c,6e575237bcb2a143a3e4fdc590c89a0a7fbd1f9652003586eb98c5ad93a57e32df086ccc7736c80d091ff8852c786fed7d377a778b1224dcf703212aa6d6e42d,9864d78219c4437ba9d76a76dfe4ac25d0f3e49c66d3c985d01362fe61cbffb4dd1a1b732f369f67ca52ce4d1efb0944b9a549a8a91ea9959e967a7e1d2b187f
bhop_death_star_escape_v4_3,52351529,9218afa4,94324da4ba60ebe4030228f16f35a4ba,826800edd785ab7d8a37a386fab1ee5a32e88b1a,edb167168d0ff7142fbe2e3dd835372e850c31110b123ef467fdfec70d010399,f9f36e7cf773fee7330876c8b22c47cbc0299a697f4192d5863eff8f24deb7b2766bc842e40e4515d02d62a385acff5878464b46d4a3d8f680910f75123c797f,2499aa4121c2e4c47e04bc2117e3b690eab298f96b6f60e6b4bf4f78f5374c5bee820629753cdba35fed7a79fce4eb7e680692fa3edd18acd82719197109d555
bhop_fuhria,70300421,5058f5db,d616be596ff37554de114b296bdfd758,c26fc3fe57e0299855d599ee3ece8ee03ca5df5e,98b6c06654e83ea35c6169d856f0ec68c69d4c43f440af0da530749d5e6a071e,6f3951be0954cfcbbac451dd74e4ef65b141a59a6486b80990978cca3d904c839280eb1104d755a281ce48cd5a7800cc2e12cbcd0104c7c3a8a6a5a161736013,99bae62e08282ef041326fcf09463f267830cf0b44d70df9d7f210730b97f5730ff7a0d8a37965fc8063ff75d92c170ea9464651504352e55f87f51315a5707a
bhop_fury,51426584,fd7b00c1,07c8961bb260a3e88d8f57507a9dc7f4,b984b26e1a7475078fa1b37e0ece991b3dee609b,a5a3bf3a94d8121e1013a549d8d77c8bb724220e0385d1283d4eefbc3f5a09f3,a1f92c3197d86fa2c474d4f42bc7614833227e3fe98f5a49aeac240234d4d990a65cde322fbccf41ebb3ebf9fc36e1c104cf94b47513405e91388025f3e64d7f,decf62263651baca6f2537541338bf244ac317e3aa08bec24dd189e4c7b512cca504efce6fe58a123cec535941a30b6cf60b32f1316ef48837e35193fa78cc85
bhop_grayness,60131909,11a7f096,d3e3b4a77ee4a7fc677c025cf2fe6060,bf08a652a7d04fa948b5a24c31433e8ef116eebc,18c6ed3a196b24e530e94fa207e2d5c075e48fa764beefe87fa4cb34375eacc4,8b40d59e2f6b67a6d9673922b9549e55f738b617824fe0a1b83067a79a7c58229776dff056f4c8f458771a7ba54ebfd0ff1e8611a350b1b98221cdc5dcbcd081,15a86d0850c209ce5f21ef16a44c8873264014cd6df0ba22a2109ee3e7683f3a1071719dce419ee60e36e14c865ffe2e3b5576cce47d1d949876bb87f9965d14
bhop_hfr_apex_v3,6788013,f8f0f640,234f440ba91d0a6890dd0b4d5960b565,233395deec13a848ce140f63f8b31863ce4f871b,c664d734c73a6dcff0c33227ed5753f7d3738848d952a42883f1dbb1a3987915,7e90bc2088b0411b6be83679a90fcfe642199f25d607a205d22028203ffb8885e6339893f8c39dc741aa274bfd254174c321f416b7d71fb8f317b2abb077ac99,63f2d59510a5ba6795c6fdae9bb14abccb5a14e8eb084f10edb7e7c631aa80fd9bae593e05ae452081476451446da707437f2acd14d1eaafa8c6f94f621c8507
bhop_interstellar,76789293,8354a8d2,bd8df27287fbdbcdf4f069c9cac58299,ad7971be2be42a0db9e734fac0ba4efd840449d4,bc4b4f6abaf5bb56a511acb92c6be70dd16071bdfb4b831265804b936d2bd39e,c20307560bf27bf2cf1d77f22bb255d199f591fccf6764aceb710db821578b45de4ec1bc55cccbb887a393893aa8ff1373686f3fa44f15bf5c6539e098860f7d,2814a4c79874e0ee5845217d83035a1241f9fec2c206dd2bae61f3bea4b4b7820319f40498134f5da45d31b69de16110514aefa3d6a7102c5262bc62f28019a3
