mapname,filesize,crc32ieee,md5,sha1,sha2_256,sha2_512,sha3_512
surf_mellow,6289744,3310f930,a5eb15491d41705f61af4869ee58d38f,0dfcb4beef222d409101f42945f1f65fbbe3ba73,bd099868377a856cf77b96cf93d2320d0418e6f6b9ed8ff3f20d4526f21c8750,7d08eac7a784f4c567f2863d46856e9b0dd233d6d891e9366ac82c73596c8cc1e844f2a0d1e9fe0ea67ea3234ae38d48f66c97bef06f2706da683b263c5e3a27,88575554eb77ba7bc46270ed3c2527269ebf1f1ea29d3879d82999cbd55acd913ad3353c6faa4be0b118f380ec050da88193015a066c644eec84318015aa8d12
surf_memories,15115787,d06c76d3,c336ea9f570e7631037fedaa79ac89b3,13a44847ed9867b4d00c74483ed44007fc88fdc6,7880c76ff3e24f98a57be75f73288eb517737d12e0c10bd9f4d7708c55162aab,5f0f96b7b6ce8d911c8e845ef0f6f9d4d2a2b028ac85961118bc641ce965b9683929aca5aeffd6c90fbe55c5ddd0b8cda4a28f796545ce5b32be571ce22037a8,43929470b36773cf0be70308dfdaf65e5d40ada99cfdbc00f56512d27f38ab88c99226a12e1e0501a126c1f2f0dca98e2b57293e1cd2dede6ab902533738ffb8
surf_misc,39666296,3c96b3c4,35c76ef237e5bc376af5c6047ef404e3,a159bc124fc81b333ab38c0cf0a09efc65cce244,18ef3eda1ba9d837747344c6e0e051d99a85191dda0b1acba7160f0b6a14156f,7639185acc14794a4bb4587310ef11bb56d41f4f56ed207a9ce5d9bce76ada052da4521030455598b8ecb8acca7b420bc60e63107a3b80fd3a27c22e2e8816e6,91c778553c776377d50c9355d2b0399567c4549caec284ffe78e5f63aa0079bcefea23445a0b913eb998126785cbe34ae7f6ea5886a5a3b445506af3bec5db4a
surf_missing_no,20392237,b979dbc1,8314741cb4742e3fbc1a3de524fbacb0,84d5118ff394a75d29ede16bade966177aa6ae75,4debf47e4aa626ddeb9629c719f8a5c3821f67be0c685d4dd27a5886ae63d922,4ecdd6ce22f3d4eb8b9b72fb7b4be871e638a0d707a7014e7a61e963a159f1099ae4c224450038f34175dd81d03621c9274293b5cdfa6f9de99f6e342b53adb9,2dfeda78b8f480b64b6f697293362403138f58cd714d4b9daaa8ac2ce5ce4952092ebe22772a4e58e69d9dc307fbb58fafafd5986f776da1d07238ecb639adae
surf_morbid,13756795,ceaf766f,21d8538906fd89814c2e9224e54bf987,88922d800fb46d1ea9c765202cfcea77539a6883,8e04702227e37767817b22be84750bd70e34d0c02745ff167b920db30b0db44e,70177519bc657a25aea44f0b1f3dd54decbb28761d62cf2fdb40a1b02b4122c0ccc69e9d91eba2f6437b0a1cd0d06671db54f21b7cc42892a004ebb32b753fc1,53066cb898c095e8362f6b23d9cd76ac51dc90a7bc0d1ce74cf7fbfa4d47b516b8cc25e2b4c6e280c964500e31771d9f255b4112ac2b38b4464657a546ed4c3b
surf_mushroom_ksf,27571363,cbc7aa53,e5f83dfad8bc38851a3684bcd000948e,1f4d88262266ac729920a06bf55bf5a4e866bb53,bc4b36f7d1fd220c396254d1f3cf9d8cc319deec71edf3d193cc98c0a7735a7a,05149cc4f0c13906afbb4c27761b3dd52e156b49c3f223396435af1ac587d5f5f041d4d699adfba0f6ea8554b87f69f56e789003850cd3a1b309b0cdb707a42c,a946c77b1d2b11a98bc3ef2907965e41564c62188157f6990db677220b137aca8c1c9d5c4cc5b2852ea245c44fedc33e258ad61dbb55ba9745ecdf04c21f7638
surf_mynah_final,20105259,715b9e3b,f3237abcf4248a96d08bac8cdfe098dd,e1b1d61f9a203f80120cfc412087ccf94c98c343,391adb4734b4062e7e616e9e0512c7d01c45cc9249da7db6ebea4190170bbf82,23eb465582c0dfc64959e666fa2536375b5749ec4053ecc91e6dd1d6b464c306904ed782ecc7be77b51d4a07e53df93bd60bd82470a01dea6619d1f180c2bc2e,e05bfa59ad3364b65b731d5a6a5ae2c549ed45ac9d794a2cfd72bc0488c77c6c19274b75371e62d2f741ee1263e890a658fb3cad7cf855da4697e8a8b1c92b0a
surf_nac,56047214,95954b4e,c2c1831c955382253e0b16c8987d32af,59e16a903ed4f28a1d6867d18617221779d7b054,4303518f80b5d2f99f271e1a8d20e5721a20ade4a36bbf4e6e273eb4ebdef17d,782d2fd6630a495b81c337a47d63d714867b276ac814425ae44e366952f9844c30616bc425be79d51c3052f6a2b4c31c581cedb1326ff8ef5159538077f88370,f0d4300ae7138a6fa00a2ba739958c6091e0c3898cd560c763ba7968a667477ed8dbd21b48923d2afb18dc715b6ee598c43eca31c479bcf799f7d1f7e9932b8f
surf_nemesis,29963775,2147a2f8,b056cd2617e7dd13f0e18485056e8462,bfa4634851a5ee90792c3155d6ae2dbe0e070b10,3009b8732db7cd5881c5263289b56b4c81591c53584f9700b4881972c13bd945,8109d447930e10e7db886340247ec5887c0784ebe5fc57c1a077b18ceffc207149fc890810c12dbea44756654888415018aebcc81eeffe8666ae9e84428570ce,002aa1b0ee847c840ca5405cd794ff1b8ab77d5ae8b363609aa63cdd4ec2dd5cd6b9caf31e9e4cff9d00563cb04ce283e172ebe6217cd0234a33f3d12c845e85
surf_neoplasma_ksf,33340840,9849e42,de3d186c8603132ea1a107bb151f93fd,07eb4c6e4a5874eb5d8b3c82d7640d16da4d77d1,cb539b3ec3dc0defb59ad7827847abf5d258279808160c7188588ea67a7cd6c0,e9696fe4b975eb4ee34a303c24019b8dcd4950b1a37f42dc6eae2e27ad0138686971e761c8e31cc0eb3403b7ec1ac1be6e3a180db11289e0e55f99ad2879dac5,f4d08ba883bf658e2f3a34680301f31182901281e476b20beb9bc52292d0edf39ca20afb12db09b9b8d3914bc9a12f1be656691d77290dc016122f2a85d53da2
