mapname,filesize,crc32ieee,md5,sha1,sha2_256,sha2_512,sha3_512
bhop_FFVII_Mako_Reactor_v2,68007372,8f2105a3,b0d4950f1b2f3a8b8e477d286fadd53d,1432fd47741b81c21610d42e32e8118968a6c690,272f472cd888a0896399473534785874361421bc5ac4c6dbe1c06ed1ccb91559,df54083a7ba91854e5d12ab9fb44135f7eb62ef7b04a758b85649c58e585d42d2507c7d89a52678b50a053ad3c89986f0cb1c9c40f17faa33dc1fc36dd5b43f2,5a89e1d1817b3213f2d0d9881400ff27a939126acc025536686335dbcd7adbb75d957ec4727fddc8c77b1a829b2f4c23d1c44195a1d556d8ed931d3474d82d76
bhop_FreedomPuppies,2456556,791c0933,28c4b1c0a3bf663785d31235e2ef879b,ae6b1dff2179a33aa70c8d8d0edb940f4fad5e6e,c3b0094702be7d0146af537933aaef6eece9b8012b9db9ecf632bc8b088b1b1d,80910cb7e6eafef00a5395b9331d8b21679481227a5ff2ebf7eaef3c2fad0115cb2ee0db86b8651e549f2f62cd54a6aa8a0771546b7a28cee5ad64eaff977f0a,f6e653032c3c836dbd8dcd9950f2f2c237b94e3f22f846cda17810eca3e6d0f77bcadbebe483088f928905086afa5462782ae57750cb0cefa7bb87bef19c6ba8
bhop_ImLazy2_fix,4330658,f0e9701e,434dd1fb366bff589145abac582e1c7f,0e09d4b484f48c4cc4612f34a6ba978326b6b172,e13062ef38c85318862bb523d1305405ac54c5822e79118c3cc67eb084b8618b,6b3d32c992f2d1a5e469323f32a2ddaf402a943a752861671b43a72b360d52b2667957bab94af9b8fa3d4635270b503fd24cbc683804bcfb9124a7b77b4cc31d,28a8f159a9c0870755b99a8a47ae84519c0526c3aead1d202a38f7472abe64bb08be7424eae17c3a983d7c6e0bb10636b5bc484f5bca845e15aa041130b2ad32
bhop_LB77,34189416,84373ffe,cd8a3d91e65725297995cefd0bea7ab3,63af5a6da1acda1da9cef6d2d2ae416093fcb1b5,8a7f1e477b57585678f05cd8b3e167d035d03781ed5eb7d3e56b99d61917da5a,0042e6b7fcf9d0bd119eb78a34ceaa31982da9b8145bcafceb592cb001c1538b4eafe85ee5923f179cc987a8b4b654339409666546568ecd5660c62feb442a6a,02b1c8d701c8f0267a85bd2ba3f21d6378b671131bce91cab98bc72923912582263c8883a023b5c18f07c9c7513506ac33694b0b2b0aec6a945ac32a77733dc5
bhop_abandoned,3691252,7491731b,6bb54532bbbe8fd75a6589f754942465,6060ccf0031eb235b014953ac7af904c7e57808c,1279efc1a9a13e2d49e4fc9eae79425123f1fd225fc6e755d525b28f11ac23f5,7ab86ff66f104a85efac8cf7c95b312ef22e9fb60d0bb8cc9e53b1f0e10ff17b47a3194d9f6715aec2799e267472a0c75eb94d3a4e3d97a50897b161860b16c0,652e75ff130ed7614b19d891f406d577f18c63f202f7ad3ff97ed26b7cb3f50fcddd8274469856af1d836fed74f2a4c42fe2421cf1bcabbc7847ac004e53e147
bhop_abby_playjd,6125120,5117d76c,26dc2234e4a05f72cf6a92b94b67cb19,b5f82dba89579f832ad229b0496adff2f2bad33f,dea8b9fa78761e4c1701d9e3b9d1b2085e0f548bc8f932b4f9a5e9135f1697d2,0ba72c2060ee68519022ae703e0b23edf9cdf7916df72daaa7d1eb1718b397e16fed4b931d65b263871fe12dedd6a258a96ba091a6778e3c5a84694ebdc4bfbc,a455e72f7b7aa8b173840f1dd73a8ec31f696a93fdf2c7845e68c5a1786c5159be8ae08a479035a283e114d9410c4f0031968892da75b919fd57688b25a02bfc
bhop_alvo,19071229,9dfdcb7,eb210394c587d871ef03999dfc0cdfa8,1446d4fd746323b6bbf7980dd7b7e317a17cfda6,5612073a6f5d3d91857679f73367d0e017209aedeb72cc78fcad3051d8899929,33c0cf6cc3a6858ff7fe4ab9b68bdccd9032498d583357c4048e2b5b50dc4bdd16bde21451a9dc369b30555b6a248b7e63e435ac08e180fa76ac4e3079019d58,1a4e6d6ae3b6efac02273f4afa1fc15498f0819f38fcb88745c0bae9fa8d9dfd90421c20ba61721995525cffb3a3e0667e85e3f5c7d3899004c2aec3ca40b936
bhop_astara_fix,8349540,bdf08710,80aacba81fb5f058b5df29a0a0a969d0,4563cd644543cb2f5c1de9df3b2438abc21a7d82,c5bf36a7edbd9e6494e0a8486620de97223a8338f2a87857f47670ea65183021,377475038e21eb2eba8e56f7e6d62bbcab2c45036311fcb3c8415db187fae8d1c2addf4a0ea0902100f15c110eedc3da0cb4c524cf814d33803d4ae7fccf1528,4cbed6ecb3799641ef64438f4df8673ee770bb0c94a98846b4288b65145716f07e21ce4998c71509eba9dd874beb08102a53b56a835533dec191798504e0000e
bhop_aztec_fixed,1618224,8477272d,0bd2cd17f49fc4060c8acc9209bdc255,57907a4371bbbea995dddc000b60e34b06081fcd,2d74f9b4ba38ff42f642a9ee4584e2013fddbf44b0085416f63cd6096637a253,f7828b28887c19765aa790536623ff5cfd6ba40175aace48b4d4ee66ce0a4b3d6a43cf9d6662c6d194b15e811af051277d3264bb9eb4f977cdc8179cdb9dd43d,ee5585e1faea41d329399fe3f4dc55c7691b543d25195a35d2b82629d6c59689a54bc869df8aa01cdbe38dd5dbca1fb1ae76abcadc7c792b0033c56cfe275c49
bhop_backens_v1,3768848,bebb4501,a50407917953f728f9e2e3dcbc106ef8,92faff11eb70f3199a1210d57d03545ea7304c43,e8fadc4747dba472e28edb6d1d8fbee09d79c69bef3e9a155ba31e571d9c1f6b,5976d0c3c53444cc02a54fd2a148976241390b40d025a61281e24a46660d6425f602e9835391132301bc2953751f361b549b1b3bb949045fc8dcccc1e16c257f,76134cf875b49a60ce4cba5a84c860a675abd9236707ce64c69a1d3d83bb8c8fc152f271df5fe4033b7b71717f21beb7f02af50bf8f4e555d5ad22da329882c0
