mapname,filesize,crc32ieee,md5,sha1,sha2_256,sha2_512,sha3_512
Bhop_Needname_V7,5168096,d5fae688,1dc13616763fa0453aea006bdafd9e31,dcc381e1bb969544a1541348b387c9ef6a43a386,9fe381e013dcaf6d05a0801664dbe8d0b04f604a435de2d3c3773a117eda1150,616c083d3efa5dd72d03e61d98257d6531bb320d017ac8fed192f5122c1348e235007d60cb8d0a0ae2c17a08d39143b8a69d6abced7a429f1af0ab07da0f9ff4,7e761a01c3416562d60599e0dc8b66ece73462ac2e083bec97929b416128c941f05bf2bb91c059163ea16a08b9a60b899d7ec6b7a4cf27886c48eb22e22f3acc
Bhop_Needname_V7_light,9966312,d5e2fb76,c3332a1fc97fcbc65645ae47d247a429,8055477f943eb4ce3a6273e89e29e0e93a2ebc5b,11822ee39bad257a894b11c93c5da7a3fa34de4c886d13d356bcd3556c31baac,5bb648786da49c6b51172cdc82febbd61e66c9a36ead9795ba0e5b9ca9e2aa3325ce8ba3f1c67c388614788c95c8039720361ce2e8c5279f02a47f20caa31439,a3b384d734e03c16789527bcf11d557a2caffea6f4c1f18921dcc2fb7cc5c7846d4fc0dab491b24f9f37353ad0b23a24858126bded218c8743d042b0534701ea
Bhop_Smokee_beta,38104125,f93c4865,26a3b445d40137e6dcf2d141b3e249df,a292566c07d10161e34eac3601903b1b670321d8,83fd470ee78e5ee479efaf34b0718bbc2330045cea736a40d0242c834e82ed4b,17517f8b828f6a940a990cca1c7b096260ee2465327916addabd443627f9adf49bdba66e194f944954097a8bc5156bae560bb6175fbc5ea632a2dd716269dee3,1a3788ff370472708dfeaac864018f5c5c59f9c8cc7124a7ca8140bb54026c7e3edb46246558c2c6f10767c9660b15b95bbacbc3d0f1052f3a9f01fe20fbc8d9
Bhop_Spike_Beta_test,1528552,5b7ed605,8d6f76c9a7a12265abc686810afe7493,2541720ff75dffb4bc3fd26bd22c834312357151,2ac9c28bacad44db93aa1ad5d0c27256ff728e7be7306c82d833b04bd23a9999,4c150121c415fd5d8f6f4dceab0cb4eb4148f7639165afba4039fbd66712b7a2c3bec012ca7ccc603c3baf5088ecf23f62b90a92a4b93113ae35fc0e7fe42384,b08e59881582b1251898d8d4d3a511aa080e5c2cb38bed3ee60a23e0cbac06faaf3b80fdb42b028a6a8ff6d77198927d56930d0d4e4a5d90808dd19e6de0ccb1
Bhop_Stages_WHAT,1171196,dfbf6a37,1f354f213decce7dcd57a94b3e0ebbe4,378cd3c8b7b19f85068f824bde91accb710b2d8e,d53af20fa79095e9d1a7dc51d7a9c9409c92e41048bc5487c1e8b1bbd83e1473,20028bc9e1b564eda76e0cbd16e574d9fb767b2c5957d9596fbc7159c8de1f739b0e68410b7c081978f9fd5b265503fe6281342ab6db832223262210ffd0bcce,ca090c230b68c3714f3d2bb5d748c00756d5a3549cc6cf1528172ad04d58c79960597f23264412b44718b6ca5e5d36ff822bb3ab9a5f8b87ba4c916f0d18d77a
Bhop_Strider_Final_b14,4877979,e9362a9a,15b4daf276c058de0f98ffe3c4790d11,5165054bc669c19e18cdcb9b648bb18d4e012d59,fa5928db71191532d02b7ee3d3ec3a61152bf5f5dd128d8ac6e8489d71ab9d8a,1c4c7be58150ff45c5ea02ffc607ba861d102f8b9a392cb12e8d1631e038280e4075fdf288a99e9c8241cadfbd21474bd64253fea2363b29045db9e52d4ea2c1,8380c60e9ab15359b15ee913ee6e566588b2bcdd4a4570a93a656e40b62979c6f786036f854115557fe855067ba334c9b9fb9cbbba8dd667941a462b0201919e
Bhop_Testttt,366548,bd826e36,0badef728623f0548aa495ccd48e8701,5251219e1ac3f9377ed8cba7192929685048dc70,567651b3006339cee9a3eee651e3ebf227d81619fe702d83a814691eac11f74d,7bba14b1bad30145bb1b059a3634f804ce13865f61a3a69a66507811c5cc6e1d390969ea11291a9dc4182d0a40a5a307e69322e0cf7f92b2d01a7b66f2472700,b83d90b66809a49b929eabb2a2cb23039097648c6dbe86a7f8f97f1e3d600146dd540ce0a4ca622238054e024f087ef90cf21af0014a00867e9700914cdf7bc7
Bhop_Tigger,817357,2ca4bce3,8b4545b4cd0acd76a2961b486e40b2fd,9afec8c91437745eb031a7816a3e33555c17ea9c,2444d6999361d8e190b06f9e80e1c5fb8e47836eae9baf1a288e7f0b7bc2644d,fd4997e63e1237d188fcf497f20c0b9727676e3902088abd671013fc39080da95c1d4c74ea727ade2420ffb0a5c5ca8ea8114ff8a66a746dca8a07e3e2364ec9,2876f71a9b3774f80866633ce316eb4b2dae42f1cd8a174f01179c2a3ea90265adcecd94883f0270bc30cf934adb55758f6c9fc968ad6b4307fa4e8b55940821
Deathrun_ItalyRats_Final,12103615,bae613d0,f8a33784ae4c08bbaefc3d6a34c42213,d2d04b0ee634337756f819628b65c7cc9d523816,3dbd2231ae606a1884673dfbd6b3bb6df17df2bc5761f1dc08d4f645ee2cc9c7,0712a9c496e0b2a0de7ad4269f7b9f7ae547531f1e8214321dc5860cb75a492aa9065fe003bfc6f9f267f1c9ffabee979d5819afdb0b9a34b404ce0674680c36,290b7987361dd1501b24921a4c054d4b26f3de49c54a119c3f35f7531c1a3bf0c93eb8ed944b75d1f995a01912c167f6d84469df2b8d20575eaa0fa3a2f01bfc
Deathrun_Southpark_V3,35836249,1c067b3a,83223dc11f9cc5523d4672ad14fa5836,1dbdf0077729ae80bd2632d04385b81b82183132,02769e6a9d7c426f7673d955631e1631f203ecda7bd3fb1f7cecf27cd0da2d1b,7f5b182ce115e035f8857dd8a84e40e77d8579aaec68f8e73b1990349a8b7d6f68a0e4a63a4f12ba4c8c15b7e3719d4bf60abd7ced23408e8a66461bb8adf02e,cc03dc95c7547acc0c08b757a4873d6cd53a8054d1fb93bd0d620912e6a5d67155295b249286154f4dce54aac68803b45de7c0837f9fc45df8c6928f40be0ead
Fun,348640,d43eca68,f486fc35f1ec9fcba4cf1a8884c5b54d,1617ffe8986362ea0383c76cd303ba08d4681165,1f8d64ee32f69f0d00e01990c8bad8e07fe2c9b0b3ab07c200ddf3f54b4a434d,95798d5c3424bb3b656e3178f82542457c6666c844e7156980e230766bd7944e2fa32019eea4c676a5da46e01d6c5a10437bb43bbd2a58fe45097367148b75d3,fc0d34be7115a237b7f3e42c1ac8f1af6ed7786f71a3e6fc2b66aeb81f52c352781ab7b3b3cfbe52137f05f2d656b9dc321c23ed3e3b9305fe31d9de53a11886
Jump_Glassjump,8184858,a045b405,f0abdcac25a5a84fded3bfac87141c7e,bc5c0b4c0b850a1e6450e6cdbc4d6b0e655825fe,0b050bbee564c7c785c8435024a90927ceb27975ece8475623a36af3203bca24,a182891c06a0104246578f863cb04a4d8651d588a3f34d620768b8192dbc4d6ce7fa727d5e920490f981cf37c474953722c165107eb3cffb11ef6acc94999616,2d729f7e034da0b99077d678aef8eb3a9b3cad31da418f5d30b53b0061bf578db21aae9891ed4e636a0be7e3b473160b88a6a6cfe6f5cae963e97e579796bda8
Jump_Mc_Train,829683,1e8701e6,e9ea05cfd3eb447ad20d70f1661cbfcb,37a9f5cb91dcde306202bbaf97204ebef82e1276,7fd3f743a3050c66893ee009ad1003c1570413f34278d4ce77937e31b8ea0241,7201498ba6514d72f291a84c2d0567a4498926816885f5c3d31f64ec3de9ec5c1085d29a33650b53faa809baf6ece10f419410f150b1bd7d84d7404c13913ad6,115cd175d2e74ea89b00557f9db73301f21b34509d45f92459716447d31e49aaf4f2bfc92e41b6a44b5b57a707d264d3908a22f167da8460e0463f8d826377c9
JumpyDumpy,4650660,a3bca78f,1718c8f4a9a172d15e8e8a5edad4ac14,cd899d0a7a7707a8e28e50874729723ef88b24fd,36572579fa033fa0be0e242afc90d27a57ddefd35ced0a7ca6bea0f0317c6f9b,7644f6f1883242412cc95c258b300016092ed7df5b6031206582d3342e30f0c404c67acd56038451221eac2ba4e819261d963a64b08d1632507aafe9654e48c0,b7a8f0111037316a0fd66a5b7ed59837df884e6e266a44702d04a77eb7e52e337057fcae838199d23bf54981d285b09f3216868c833e442351a4fdc33dd8d3a7
RP_EvoCity_v2d_fix,119482872,49112f0b,205dc5c8c23db92336b0a4190260ab2d,5da70175fa32e9249b61cccf0e15c756280204b5,f56d6e5f01bc19de3cf7183d210ea7026c7b40acbfd2259cd036fa236506e1f2,ecdd834afe4b346a890f1e1e104fcf3b2181868e182b8233084a5a2db73c61c9533b8a0d94f7e97597c4f1781e3f52396f314fdc6c623cf886c8270f70c097ee,e6d3925a5a574c48800bfe6ebdf44d77b133ec27fb545dc5ea93559714de509ae168e6b6d957d82fd9c4dc370a16e8a9c40e148b672fb27b762c9f42f000b9cb
RP_OMGCity_Final,35598904,3d33e154,f55fc27ea839a4e34a093bc5db57e859,03703605bfad4ee5a590f39056af5e670f5295c7,db23756eef7080783b0c5faa009cd41e2bbcd09b0de7ae0413236a703992449d,9a8f9ea25371bfaf0333211207e11dab5038e49f93c50a18e00369e76baede0bb541d8158c46ddeacca4ca4d19e8546323c17a58db77d48ca8dfdfe9a6b1c010,82534338cf11fbbbe9cc385603cf026a759a54e588bfe787266f0dcd6dd206a2c1b30f7bb34c19025845bf1697f907124ceaf31cc4954939798969843346cfc5
RuSSKuIMCz,9732856,6ac8cd6b,4995340bec1422d4521808ac4cf34326,8ff98162d89ad5971682f628bf64fe19c6dc6e2d,2ba442dc9d4faf5c3f7bc32aae46221d24848990ae99d753f36842dc554014bc,e6357f643dd31cf0a0460a7d5e4c89d5e366eb33da97f7256f05088e07d9febb50d6c10636db6ef2a7381339f6529bede540f085b4659389bb690c587bed6e16,28fb1d0f4deb97f6401ba899f55c761309a085c680bd5db46e3f22532d2a8ff5c3125702dccd069f01cd8aac3c039796a42cdb518871898e8ec9e81038b9180b
