mapname,filesize,crc32ieee,md5,sha1,sha2_256,sha2_512,sha3_512
Surf_Cannons_V1,62732108,9bac26e5,224f68283c69a19bdd9e2dcb5559fa9a,84cead1c1da3ecab54900ffb399cca3385b7ee14,eadf1fc54d31928ea11f5c090d801adae4d5ef120f4199b9198340b8698a8857,30cb36ba3fac0fa337768e966a42c3746e0510fdfccd1b9c707a8703392634b6fb1c99cc9417b684aedb298cc4283eb4023b2402bcf9ab7e10e2bd21eaf95ad8,b8f1f93f5b2a6db989d35fce8d9574c22a5e9e40b50032d98199b45d7384c0ad4a58a010db303753ff419c7cf552cc9bf53d78a47934da5ef2d791901dda4fa6
Surf_Swej,5158040,e0ed5185,510e3ff3686152bb33312bdd5941eded,c3285a8929a8d6ad966536dc41468b9f7205d277,7764e3d68ad249385ecca9905798084ca2971e249d7b21a377ad920ad69f88df,96e257ed88cfe1e16761163cf2219d863663d9511a8fd81e0d14a514d3015d683013eb465b1e0bb195486a2c38dab3dd142ed3191fb3a558e782262f525be7de,a8dc9398a056b150d767a09165126c3f2be8a0858c736af0dff86d7e2d8f2582565832cdbfaa5cee481c71d29cf5678b2ec693e617975171ef90bdb46df0c60a
surf_10x_final,15962572,cc742629,ce860a58e7ee30e481265c272c911c0c,05db779a1fb27fc43c15c2fb13beac61b875cb70,8bdc37c7e420d942dfe8347e8e13d17f3f588aca5212c7b50c323cebf066bd38,61df0ded2df30e7d4385f9cbc190094a3becf07b0f8a24a68ed4827ae120f1dcfa9df319eb3ca68a8f17d935aa06317ab00fcc93471d54f1bde0a27f9508dd8f,f125a264598158a4ea8a281a7c04f282cddc8293269515e79c470df80a58c4a575bab8ee2451fa3c17c9a72811f412a3055eba226bff1afe101c543ab771c2c5
surf_10x_if2,16181784,bc93b449,8bae2cfcf81f1252f1928e58fc0b4227,1b58f1588b19f21534680d6baa2ffecfb897f236,a65d847728604a3ad36f8a647305d2af26c158141a3910e056576c9a0b6cc9c7,a07de7a674238331eee750730f3db54ec52c87b335de625a3a24af9f67e99d1fb98953a192b25c5dd20d759c4f7be5043e8e959efcdd9aaf6a23e0e8d656a63e,03c5df5b794f465d01f32e9dd8e8fa4e330f31142f41501b1b3e6543d59a2cd886346f03b8dd778233b33521bf72b4784f2ab7fa24135ca4d1e6794696739893
surf_10x_reloaded,2946499,b7f513fa,d15242309b042b4b8c10ed20db4dc731,8fc36c2ace5e84fe8fdecde6ebf64c43aa50e9e3,670a86b28671e133837bbe58f6abd194fbf47e0a4a1f60ce5e4a3b3a3f6d287a,4f91044cd5c3cf5e0004831f9b27334d024ebfcabdaf2a56849de137c6134c0122ef53a527c148b543b09b75de33c8c07583d4ca06adc7a48fa810b06c0e7d1e,40610e3f4ef7ea74c65d01e7550d75e97f859af10db297a03fdbb539dda3fe225b394d05e6b5ab45249a992e9748afad3fd66d5968bad19100a9ebef46f94654
surf_110b_austinpowers,11209156,c8eeca08,1bd847a0995260cde73385fdad40b59d,3d1539c788d36df4c11f4f82a8867ae7b9712c48,23d2c56976882579d1814e6d291f724f2136313c198f26046f9aada92d790efc,9748f836a84e252f35532e76e30ada7bf6e361651d97a725c5e5b9692252b33addd9c5c2f45730e8899afc4b4095a6a227258f3c319fc8f63ac47c082587ba1f,b22ae8a32e267e0a01d6602493b12c63fd20d5641bb31df8fe63aef891748104ac5d0415a1cf0e9f562e0324f3e5630c018306563b4c2c29107ab7b4ecf882b4
surf_1337_xxl,2595948,27ac9e00,43bfd5b52e7ad5b92fb0c1092293ff4d,75e1feb4e797a901eadd3b4d64459ae096bcd875,8e2d68558a051a90f1f1d8ba48a56a782bd6c9713b74c1ee75667df8547a6d45,6998436f2f71fa74090e6bd4b18afef03d11625be5a6bde1050cff952afcca58b90b4a49b3b969769e03fd2e01be2415be94edda77cd5d2f0c2336e3d0fc6c80,6ef2b4583f719719852479856787d17ad9cfd0acddde5f50d89fafc7d6efde7982871f347453cbdeb0555ec8cc06a43186d78459db325e5c7e7c1440ab19a144
surf_2012_beta12,18937310,dc150531,0f23521c7429790eb2b549be583bccd9,a13870c6abb9b5a50351dd8e949293a98d6ff582,6f096b6b819fd997027c6bd70c1e96c76a14a7f6f015ad0f1623a940023f99ea,8ac6ba0ac10ed07f982de1755377e15a0ce5b0af20e20ca3e1db5d8485aa4e8ea25b930ad319c29b864e9d6bb9aef642b126cee3b245aa9008cfac6078a1fc26,a956965cd0375d85037be0932eb11f850616d8a5317c6bb2858512ad5851c7d580665b9f7bdf527fedb45e2a8f2d661ce087220f71265336177caf6218e7622b
surf_20_12_06,15490400,9c4b49c5,b11cfa49ec332815e95f078604bc175e,9dd2750c6c74742e7cc7e0767367b48a2cafde0a,b7926ffbed7736d33c0c9342715e1291e58e8b753b98fb0d8cce21da9dd51e39,e9c576d93d28f56b53ba35de5c92c6fc51fac445147d542187136e8bce5176ad586c3894337f8666cee6687aeeaed7812e43a1b2dfd3a8af76ad5426115609d1,deb723ba52a4cef0cea6483b34763dc8424627e7ff48f0283aa70196590d4dd03b5e85674cb2670f000c0fea366dc24283be6513a957c208fd6bcb2335b265ae
surf_2big,1885668,b31c3ae0,4f303897463537a5bfead06d447e2f8b,7422dfa50b2c0e81afc4f90b99cb1cf3a28869b1,3c9b1348335af7cbf97f805ba63a972d6c34c39ca615e622390b455eaad58242,8e2fd447a3193d3171fa2cda5bbd667d0038f00988030e612857d08fab2ac04ef8f3d13055800d3c6604747ced9c1b3301b33949febbdefaef68609813d3284a,5921d23516c17e695a610bcc666ba53f901bbe85b820735b09fd6d04e1b86ba944458442f0317de29a85f33f07967455dde0ce9609ea4660c2600c06d55f7615
surf_2tricky,12532824,2e7b27b1,02236a97edc9141b1a465ca5199f7ee7,17cd4cf11d01958449d1b30b2d585147ff3c822f,271ce857adbd75f734da169828c0c5c8dd20ca8958c11eabf5464d41257d30d9,bc19527d5af913269c5a05143da922252bf88ec6320354d1540aa29c99b21a6d1f0d59b6fb65672f395a58b6bb8fcf2457441a799707cf90786337df54a57e57,cbf20cdd26a34ae940297d172029c5f07f207cd1bb61d23f75d91ff17b1c952dca2256ec7b3a4a58e410cc3ee20ea2768d84aa03697167620a72078c4047a3e5
