mapname,filesize,crc32ieee,md5,sha1,sha2_256,sha2_512,sha3_512
ZE_FFVII_Junon_B001,9021368,f1c954e6,1e42e5287ced9e1c83e2d2c657391795,3b0dbe178fb7692de357a20505438a7e4040f395,60b1e2c540617076243be4cfabee9e932e171c103941095cafab01e71f7f20be,64d161f70a90ef6517bfdfe851dc3d0b63880d438f3ef475bba7c16abec1fa8b37384a66ab48ff6b762c7cd0c8e0366eef2c2d58c83253acc45725ee6c607503,8a6a7af094cd5b3b14c6e0ae94463d112f5bc28fc5cac24d2bae8387ba38c1da894dfd77ba0345753ab40deb19de55016627e3cc1fead8170f65be16a2206405
ze_BALU_a1,47085306,164366e6,d2d57350fa9c3631fe53b68ea5c182e8,21f095fdd29290ca39fc233240ab988fd7f45794,8a4c288c2b82e24ddeed9e3be9e94ea11733ef1fe3dc423aa2b19eabeb17e525,5839310545fdb3436bf01634ca0630ffaef0ad0a94d49061cb223964bbafaeb74fe5eb13d239dbd9e2b7d063dec5345e106f903a10ded625f6031977e204d93a,7c372405f35419d28f62fe8f59b676260425fda737cd3447aa42cf63ac15995c40b2b447253c795471ee3cd7be5fb895208ef6a5912a80d5aff184f9e7c1c7a5
ze_Blackmesa_lambda,11783907,31e16f6e,b699a1adfbb3979b3abf74a62b09978b,f924a6779142fde65ee85192aaea4c0f242405aa,98f34c8916dcd74a13f750cc4ea9dce43fd67c1f2e1df4ed7a45737bfea13a31,e20b2a6d69396cec2c847c67a864aa191c88abb88a4feba7f53d0ffbcad81058cd6b9f76412a4c8c0a49a04c7bc0ed2edffe253d08e990ec5b748d2ae97cc3d0,985a33cfc6071652830497df0045170eb2272852225bbbd2289647362bcbca22ff46adade5ec196bd952a63e495aa47bb0fd77de643137f0fe85d402db718612
ze_DOOM_v1_1,65469639,9e03913c,88aefa7a3c539e2f890cae70fd375538,79b1b1c28aeda60322ce1289f21abb9a36329b0b,eedd45be2f5612793e78cfd5a55e64eaf1d476d6f5fed5a15a24415e6147c819,b72ecb27369b64030fe58a0d67a0193f14c373c8c9265f536c5af54ecbff0e801793434ed3591f093e37a617ebe9a4d9998723716c5dd452288b408f6cf2bdd2,dc3643cce2e112b97aa2369d6937272f8916e97ef7d6874f92f47aa2f803709f9f6cbbbe9db30fdaa0d8d0c7fd081f7464085289704289b252926b9805830d4b
ze_ELEVATOR_escape,44169448,2daacf3c,58dc17805d1b9516dd0616b1078e25b2,3582ebda0a5c4d0288f8e8c6bb8401ddf67959b1,9dfac498a795e85d85014592161404617e2a1b2a81eb4abdc0a0f9f06c89a3e0,ce0661282b6edbcffc40cf257274c435d4b4329138d40504c5eca7f094c1017659b0629e1b81f1a5f3af2aa300c9e4752f8a0ce64acc03ccf7734588dc630a6f,bcce1c94675e375253f641a2817c00236ce87e747fe1b04643b00724752d244393469f7a6f0c52313be7bf5aae2f1572139f6bfbd35acc1a6a1a88b7631f83c0
ze_Escape_Stroggos_b4,73628554,bf55121,ba78ebadd5bdab2ecf51c878eb78432a,64f953e8ec4bc71f791a29d06acadaa01f839b51,6223b0c0ad78da435fce0d534c0f13f7e60ce14ddd1245ea6309ad8c36fd6eba,9fe11f4201352587082b64fdf4dd3b6f4c9791ef392469d364293191fb6159d1e16eb45b45e5540a682d231a8b123735a8d22358459cfcfc709d6fee561695e4,d3e31c3419b2993155cfa98c0e135634a0108376efdcdee105fb4f3b3e45300635e9d6624fcf12ef863e67e8a0eceffaa96f8abe1ae814b04179863e4e53647a
ze_FireWaLL_lab_epidemic_v1a,53141113,51df6a71,4bea006cf2884cb3b942f1ade7bc2f30,f543d47643d737d825573ecc8859458cb163ccb9,3fb7160b7540c8c9bc867c228857567f8781d902edd658a6df3df3398c82cf3c,f562b2da500c9d4411e9e0d5c3752a24cee5aef49427dd5d04db671ceff8a5fecded717e94f3fbc933b09eb272ceb8db85d6a7021f670229d6de4d7e18fd6165,c934c862daffd32ab78697ae7652cb14cb9dbad4f6a0b4530ab5bf75a809643f6fb94f394197dcf07482ac52aac7785f3bdbe56e13fb0fd2f8c284a4e32fa28e
ze_FireWaLL_laboratory_part1_3,55153155,f7ab09ce,320a0391a639b44a6f8606130f0388b6,4acb316fcbf6fc118f8d430861c28aa148ffafbb,17f2a6a25657a7bf9a28edf80475c86cd971f570a4481311b89cf36c876afcae,48afa6ecea7261a91dbac73236197a2dc3882d4a5cc18a7a10d01f04641a6e87f85c607b874aa0cbd5c2131f32cce8b02bd31dd314abe3964821065fa97fb6da,54fa2c99ee1b2dac31eef08c4bee8c738c4dffd946ec1608e4b6116637b515d659445056fd71eb7dae2e2241799860007d54deb55367ad6d41e9706184490d30
ze_FireWaLL_laboratory_part2_3,30478461,c3d110a2,d28160fe4ab6f4e819b15185e0e74ade,b6b7f4e2893f7d5dea4e90d8580ca9d85284cde9,1cc61a54013136ad26019db6189e8af96f3b3f8b4d8999bbce34d65acb27fcec,b213b5132f0984c4e387aeda8f338741415457fc755ea1c1c645b9f3ad883f1acf57b579ef9a2acda946c3f3aeca96021d618e6f8e98c3cdd0ccfcb6eadabce7,a964aa5afac37c9ae70024fe3eab14912d8919c0f526a3eae053fe6011f3d8a4de7f06cbeac8a98f1d837165a5a70d6c473b8a09dc44008e9cca89eb84435296
ze_Flying_World_v2,46527980,61de447e,1e7ed6ffbb6aef7ad7e1716cd20a3ef6,7dba7fe9f709368223e0bef4b3bf698998a0a241,34b8872fcb7aa4902e79f9ac1c46af101f7c2a70b63b94be1aa881a68fd93a0f,beb3dba20ce689cc938246e03f2c2a07df867b74a8a5573f3a22e6449d64f9b0ca9c70235f560166758ff75af61ca6139f49f585cb7a505fbf60fa2d40583419,15b91ecc4a0f48037311bb8013a55479aa3942bd7f60d54e6f2ca2139421bf4fb4ea5504501237114850e359c9ce1f481dcf41cee984050c7c15b3dfd208f730
