mapname,filesize,crc32ieee,md5,sha1,sha2_256,sha2_512,sha3_512
bhop_MiX_v_1,2162008,9698bb16,73edab6f5487ae5cf5302897acd44019,0323df0fafb74d570dc9e1c45ec231ca05be04b6,b9d7bc3dff90020a39309ad95b9780e033dc82ff9532ac451739dae5d10a2a40,aedb91c6b3f9c354445df5eb47a038d4787c1791e45e57fe13a73fa01ac3368e9ba89bcf7f4bfd6ce4ad2c81fa88daf8715ca66be736b66acea4243c8c1b0a4e,d70d15751a2f2052f6adaddfdb2b296e3ce1aeb0e78a1c3c69bab44eba7f312d99a55bd3b78fbefcb187bd8bc8c5102f9f9f917d69d27cad1b765e68adc90235
bhop_it_nine-up,39487975,a573fa3,7c1a7b12a10c2f0b3750ed4a6e3c8061,174c54fc14edbc19ecbcb2499abc2722ce0cc30f,871eec0e563479230a8c9367c5d6f12e5a0830faa751a7c5db81acdc362c3c7a,df6534ac2fb74e783610365fd6f8b70d723739f83bc86cdf3574cbc94bdc25bb0bd95a6eaa678fbd63e1b52ad1383b5cb1ddf919faaee98441609fd61a990c9c,c7ab3c2ece3c45f8ea94d0b6e106da90dd97fc6d42acb5d45bdd5964787b62bd4443ac9700a85deef17ed2e1cc2bd8c673b5a4bff307c5c70b86218c60d3a9e9
bhop_kszo_snowedin,4906536,e574f90c,17732babe6f12fb0d8309fa79b3832c8,be3dfd0c163fcf7c686234801a7fc55decefdc25,9d2e428856ea17c87fa3971e241f4b461edee09f1aba147a468301459f10a870,0e0162cde3c2d11bdbf480c22897c978dc0dfff7530a091ee0c570d7cfaabcfbf2f65efeb5e11c57498df8bac476eef7c4fc5d8e7a17d73dfdf2d4a6a564a68b,67463830758cf11a082acdc546903c9a7c6a39308ea5cb78e303a558a4cb4876da7cd42f4d9d779c145e3b502c91b32e8b2770c071caab84f2967f62c11ef099
bhop_mg_pro,1458236,8f73724f,451d76cefd7f1af011ed79aca873067f,df9af6c1c15721b61c8c4e493cca13bcb3674409,f5e7271b42563e20632e08b23aedd23fc75e362387b775cbb8d91ac35bf1d558,bb735fd7e379ddc7d49022d5f1bfb6c7de10891e4f04380bc266e003600780793d01d79f845bd301e324150fcc9d098535916358432188330b4b02fce9a073d6,a23ac73fcb11dbbf08c5b1f1c6b44d8214997aab020dc61a4bc3c6612ba73a1c90f0ff6fc0b0a0cd727a180d84593a7015ff977e4255f0bc4ed9f8d82e476b09
bhop_monster_jam_speedrun,185147175,2be7b996,e69af53bb709f9076eba0e3a8f35125a,adde82023535266c4c0aa49c8974ecd0159d6541,69f579cf89356f8e22880bf8fc70b6804fb367dd196b1f3bb19200291663d615,d5c5dddfc72d05f84f561f516210bf26c327db937903d37cd4cbb40e2c5e5b7695091adb16c685eaa69a5015f96ad422db389dd14824322d50bc5020987a4e20,a2d07e1df67a77ce782c0854fc5e2761ea4ce00a2d927df4d4c3cb764fc7695db95c77696d648646f1c106549bb1a13f1715f94422b7165591358e0b0250b1dc
bhop_mr_lego_final,49605894,2198ae87,2c901b6bfbb01e4c92d676c49d12dc9c,7acc5678d6328d0125c7a7536968d4d2c7918626,2861b6d6408af459728af1d5b4a941d1f9b2dacfcef8927e24abd4f9b876f32e,f438e9220c5841b81504727b4dca217af1f91ef66ea02e8af889b9959005bf3701fa6db8a6229ef669bf08200840a1c632dfa279957dfd3271cc7bcff56c7edf,4a49b6efd097ca782e897a2129bf2431a41ec5cb3bc0f3c6969b4c4b363b060cea21280b81a97a1f3012ce65ff5226d09cff8075840571ba139d7042b0a01e87
bhop_myp,9100363,5a53942,f5b4733c82b1ee1cef0fa50648c3989d,0a23499bcef2f7bde47824eb1c35e7bb539298c4,06bb10c275a082071fde5c501c47e8bfbd3ce21eb41dc08d0783d2a75416b4e3,80c6233b9dd2f125530179081a81f23c1dbdcc3fd1c5603defd9822fee93b987142f83c98cef3f25cd7c1a48ecd8e06ae1f598cc89b7502d05c135413ec7bd29,8b96a5adce9106af7a0059b3a06387a5cb6d629bec0d54d1b623e1ab89e673844bd961ddccada2dcf9355f7ff1d13cec7a0a42e7631b2d2b04b3aa2f8ee1aa97
bhop_newhost,1598208,32ec5a97,29b92f9bc8e385995225a32a5c7d1cff,0ff5b90dcc10cdf6bb77dc1e5b274a644c63defd,fee5b7fba6d01b843cb819b0aec0b96db317e5fdc5c88a7b99ed5fd04ff7e1c0,ec9d99fccb7397059b6cb25781073d38f1da98edfb57d467b6386c183af3a896a914b3a780d840636d7741168d32a8833d65f1a2ae3ff5c344ae4ec0a0d21744,5b577e6acfb72d8eee1e4a7fed818c4f694434cf59bfa413d954e667916692e65e6747aa998e09dd61e08a681176dbf15565612ede54fb2efa51a1cfddbbc10b
bhop_nicetry2,1747768,586b6950,06312c23b2d5499eef5c35cf1e3d4c3f,3f007486146b4435719610a3b063975c20945863,8c43d26b182156594f7eae1c360b52a6d4718e8b585d973946dd8dd949378d10,f762e9dd9ba64bd4788f54edfa70289741f98e6740710e5dfa827337b987fc6e4e5e54df4747827984c642e7944ad91457b7fdffa534577ba99842942122bc7d,2aca8d0c34fc73485e4040113d26509b60548a71fbd915128f1d05733af6e01064fe52aa6641c0ba0cbf4c91fc1efe80c78f0b88d109cffdf1f57e251c847f2e
bhop_not_so_easy,10122536,2671f3ca,37ae2df8302da36496f270d517bf4a16,42635bd13fea812b74412fdf580418ca30ce840a,21c9b697f27945fc860510ca73d0fdd8d5c45b4f1b7e35cb04253a9e91dc65e9,7b7d25764d57b1b56e864e376c41bfc0211cd10aee72b46ed6c85a8ce0bfc3fd42efe70bad3d112a4935f7131305983d654a12b778ee0030734dbfd7037a5d04,fd623d1090117a4d867fb02725e1c2a9b445666aa5fc1a4eadca392d886db6abd97688f3a8b2e6236eedfd6f51f5a115f2405f1d3a690768266bac2ca36d6dd3
