mapname,filesize,crc32ieee,md5,sha1,sha2_256,sha2_512,sha3_512
bhop_essy_jumps,1055536,751ca907,df7a6f770d65545f801e781e761a481f,455933e90f2be6842e108a0fee581d72c0d18d80,3ee1460b8aae359a8ad5639e0d1cde749f0c2d56f6388d7f7f97083e1d3b4c71,137f6bc039b82d88d89177b89329e907cf33308250b9c6740fe22c5e7562a9d870442bdef2aa36118fa949a2cebc8fc7f0b6baf3946b0170554030467dfedce9,9f748f5561dab51fb53d0274ef21dadfa2148c0884ffadebd74394132d0533d28385f700533814054d289ec02726a013c638f2b4e3350118f035944dd30890a6
bhop_flux_beta10_packed,3314139,cca34748,976f995055ff3599046d3842e61875ec,f123e4556987487ea01170848bd4f4759bd66256,bdb7093838f9fac87d9d10378be3d1ac03072001c99e85cd9fdfadf90b4c8367,1b9f235fcc5c71bda635003c6a6282e85506bae285a414c6d9bf863c7f75c29e36ed88c9b415a19a1029060b628e5699184610a9ff967a96b6af3d64db99059f,566017d3f57b002839925e959802abc70c337407e6d0c15236d3606b2c2d380b228d29de6e894c7ae393f4b73725fe61426fe0bcabb964b24bebcfd645e70c86
bhop_lush_css1,57227736,dde206,c359f2be961985fae06e76f5fceff8fc,c8f4cdf6523fe9f948ce574a33eab8e3fa1045b8,d89092c3fe4709d6b5e342ab7428e1731a9c18cfdfd9580dace09fc3abc205e0,c758ca62d3619e5d7c1824e36397315421230cc86482568358c3f67d79c2bf367bebc7c85b980d1c860716caeef1521dacd29f62c16c0d7fb7834eb53cd1bb85,49ffa014861fb91e63fc39497595d8d6f3fdd5715d07fb1e8f4f60786bbdf5edc3301e50cf2b6b044f249828be3ed54900d8e87c93e7cb891fa29cfecf168af8
bhop_lush_css2,57323512,7094ae89,3804d62b90d6f0d3dd84df2578571e59,2ae59820cd5b9fc56564cfa835279f8c68ed59c0,7f057b5efff4f2cb5d6f7e71da0ab35c3613d83f0d350fe01d2f995925d1e96a,d0c10178b5957bda2ee4a011f9764305edf4efdec2f626687974b25d4da48ec13034cd180547f9f6d96a2edab96107c8db9977beee7a5a576a5edb269a1970ad,42860e41f3377e16cf9bd980b186cc9b36433b673928da66af8dab9f00416862a217543b515643e459afaa729227d61f5367ec5868dfee1be7a60ee5796f8b3e
bhop_malala_test_7481,8617812,8fdde788,d218a730d87e4ee0c7d210d80c4c7f94,7de762356201ab21b52478822283adb4a5438d6d,d45a20ed357390bb46b88436b6fa55e6ff1dac012c88e689a04b2ec2083394be,a7365e5cda1c0f4ae6b83ad72550cc7a5fa5c43075e66de44044db3d9e7e15af76f5fe6f60556f4bd6cd3ba208809029d2f5e20753920960f9edd9e558854fc0,b784b6f4baf40c2a19bf24d4c18c9e5b60c2cf4380cb82255bec26eaf68a9579c5533d98b577dddc1174a38d31b1583d6f0647e968df16daccb7e6c3ec5a124b
bhop_murrdocc,20513164,fce61cb,c7adea9a4f7ad97b807cddd47b6d065a,2e38a4bea7500e28d58bdff719423113e968b2cb,6329ec54fe0a0501ce3bef77c02b1e81d4a28099b292695ae59f5a8e56978219,7cf4a2e9d06552a93635fbb842728d0ee5f99937fe83745f6a60694f16e34ff01a3274b553ea56507115c7f02269e791d20109343ec684133aefbfd0e86b2f81,df0dda8578d0f843adfcfea1e811a154bac79a5e68f5e6e73ef6ae4a17891e7792825755855dbe6af011b1ab7e604badeab3b56715701f6c725ac04043b1bb99
bhop_neptune_final,11626617,e0ba236b,aceb7146d1a6f3905909be97254771c3,f3d9e39a225892f835ef39e39d4de816d8895802,4f6ade11072cf91916d461711ea82ca5f91d78ac044f1f88a4f49e85de2f114d,3be6034e8490e3cde2532316d6c10948600ebb3c160f9890413bb22368c66348582af7bd20833bd15d96bf6737b8cd921cdb3cd23afb8c2f406c41c78d975976,f254e86481882e096da68bcc6604f1625ab3f88d82f3383746597cb1adca93636677b5136129883f1ec8bada5c4dcb4fc0dfec00f1acf62b93cd76a0b17fd85e
bhop_pev,3129048,39ca046e,7e5fd202fce58004cff23f2ca9deb192,c31fc7bec2e3b1e602e81736d59f31fbc20ff3d7,9991c832cb525b18ccfbe41de726e1728f490442be85fb7f887cd1f83c096b8b,f7593e5eb34a6b1b3cfa639a02919c0572c5a936e43512b3563ee7d2d4519d1d596bf02c38e095dd3e2ac446ca84a2210f76fd5d02209f9a779b252166a3e514,f8773945150480ffc963652fa25639afe0ee012a86bc763754f5424857b53d78d2f48877882d54c40d557cd10cd81a0c7d4147a83ac590c17a2f6905819aaba2
bhop_tequila,6127616,459aa6da,b5463fb9f9ef7d8127451fcee6757812,f690c77599db60481521098cd789dd96b6655685,1b558a3714331756d0c13047d2f8c105e6f62a13ca808d8c05ebe01707e3868d,d30227994c1a835e959f163fd56e065dbb0cd8989e3a4d5c75b083a135e8d791f0b7f539c665795493ed17d5e5d2a71c0c721ad6dbbd7dadb1c039a4f1b573fd,61c440948a4d115a8592b29007548f901db933bcd3a0cfac9d07bbcdea6292949efb0f32cea768decd3992ceda0ea780d5e4f664ab41b620e13886154046f50f
bhop_tuto_v3,19362747,4448b730,f218ec2dd063825cac6745d26a382b37,d7262b0c99543dca955461118aa6f3468b9adaa5,a64968a511679e4fe29c1931298691f8d2f9c1596656a35aaf29b7a9275fd14c,24dc3f6079999201b0424d1df9a3ff5e14d16d51f27b2039dd3358fabbd4e1783de796b5af7e4b4ffb3e1eda3b30cf74fd341bb0d4a6e0fe6dfbbd3219a37271,6f7c3d22c7e121e24c7bafedc3f9997d806ef7fa2c67b2cd01bafae2e28b7ed69f7fbe6171b9a1bce6d7b32f2bdc54853d57efa501dbfa87680a6720d92a768f
