mapname,filesize,crc32ieee,md5,sha1,sha2_256,sha2_512,sha3_512
bh_aztec,1625300,5b16cc95,f32d3b7cc697328ef166413797941768,39a13b3c78a60933c48283241f8edb163ff64c0d,c9cff2c33ea13f5673aa6aadf0826ce2bd146fca41f82c2ba75ab7e4f478bb35,3d4c37d04dd6004ea5f18dd8b94f40c96878e8d52bd5ee06d4c90a23725f5b7ea1fa4fb9773206f4432d89e45a9dfed867b8054ed91bd0b1ccd3085e93f72817,746631a030ca3c41e438bd53d93617ef26b552c9411266b82bbc33ffd6d40706e426990e11f060b609fcff942634df65c798b10ea77a43aa42d232367ab23531
bhop_ScreeLee,30164895,5b14ae32,58a2a46db9d7ee1ecb377e011bd526b2,630f18d34a93397c7d885195cd7aba26cfe01294,777b95ea52ade441c6b592d63b5cb5d7297b94044933d210ee22cc58eaa02ead,b77eae3a6951fb8f2ff25562c84afc1ecde9d4f14bb739df10843e380f338f667245829c70a4b65cbdd48a1fb441e7f66ea184bae77bcaa5d4b2f0f87939e846,eba526d1059be6a5daab3ca512d7d88cdae14da1e42570137df68e952497224ccdc10777c473c65ecda2136cec9680a88b918a3b2c704a579d84843f7503c4ba
bhop_Vermouth,21889125,34d0e360,93664ecd02bc0bcf6eebaa8395d6ee9d,68c78b79a28ac731d940510d0a6c3a5ebe5f60f4,bed3c6e972bdadf2e8dbc6d6e4066593a6f8b845e52c0ea2048b86af1a4a9c3f,a66d5f11379a9ce18877a9e10bf9e2a5402efcf65f5b2b60c2a849920fb055f0b0c254673c487d7d47ceeed3c4f77f062ea62329fa0fc6791e5fa2f925d0a019,ff4441a6c93988728245588bd6453787162e0c744ad8bfef1271392786359b1b7c3bfea8f73901d80d7ac4ae5f1dbaee39b9944e8cfbb2c667a7ce753bf1b5f4
bhop_Way2Lazy,2104708,aed113ae,cf7dad0057e7ef730aeee7ed5ea9ef32,5c1956047302a71788c04e55e073ba81140558d1,1a1cc189917dcd7fd21b51e82aebd22aee8f2e02ba3b6ee77d3decc826d2f25f,234286d94a7a0c382dcd97be28eb76a3be780c99cf6bc660b0a45002fa4c7962edb451dca666f3fe275d0bdd97e234067730cce36669e9cf2b38994cac4ad11a,6618abf8acd8935624bab69811a802e2915315edf05703fbe881ade4bfc0f17d477fc1d2ca007514987fae09546c59de00302d867ea648300bdfb797df916fe8
bhop_Wayz,21147649,54e68301,f6c16e81cfabce1046d1fa26b66a4ab4,77a4dda4925906551416e1405cb9b51f9d50889a,2b57adf598e9810674d369a0e8600eb60c6406abdbb58a22ba994197c68f1ceb,47643292e5091c072512a4fbf95e1256a7b7c33006c9b7e4ec4ec9ff15f02229d7bcd29b97ab624782f2d3df25c03b5715c0daff7edcb140449bfcb113904e51,3bb7e636050b7385e5daa7e78a3c94087e499ceb6663c78ba071b47052e493c9f96082ed32965158f519e2d92b93a413b8060c2d5eb2e39dc2fbeed24af9ca1e
bhop_linear_dust,26206756,1f3817e9,18fce7ec81861d36fb5c3e18268beeb6,373d7ff06fedee00f2ceacbff62e5206d352358b,014b48e47b025ad3366e45bb0b9e0ac9301bfdf85d8de48dc7633f6ea10027aa,8041f8043d427bebb853add8f762c5d419e13d73caede832b0c5044c0cfadc89df4bc754863d7f2aa50beea013b71e7a77c4b712e4b492cb01aab5e8818f3830,fdf695aae6f4683a85c886cc8252981f85814b6ce89e5184b6f4abd119432ef31c816171fc92179180d7b53346a42bbe04e61ba0b49086fac453d35878a9d516
bhop_mons,20081704,35c98721,3b7b6790346b342fac6d3b4f9927e81c,370b6789e30d39b4f8e35be41d9886f7ee1bb72d,4f84cf8f7cae2dc02fd588e8fcbb82b079f31cc82d2a7ad1509965189a2fc8e3,5444c02f953c048d400749fcbb2b78cb3bc888a7a26925533677cabaad2f669947e396e01151322f831ccab381c7b695d475620eefa0d9c73ea15e1d0ed891f9,e366708d20b2216d06e34f4aac6732c30f323b5eafdfbc61538929b340a7018e14d121709546c114778f4c2ef0fc260b1be0ba5acf42052561f3b276a1dd3941
bhop_monster_jam_fixd,44732701,90992278,37f7a44f620aed3e7f181ea620bdbe60,6011bf977bba091c0b4a7c7f4c179f67786cab7e,4c5734b570da06da2af23de5345be6b227e2389d437801c2d1c9448b791921bc,f393c5e2f4bede3a252081a198c160b6d7f08276ffddd1b3b9b949dadc7bb3bb7fce91ddabca61672eca11bb3a4042956b080b4168da40da4fc5c4102e38d267,0fea5bb8c00c5686b7e80dd5c7959009b09b4a5aacec306adedb5529406dfdb3a8b1b59c6d8f553c1a773736d89e20130aebc4d6fa8ba7bd917bffe852f32c60
bhop_mtg_20f,19762446,a0cf5cc7,b2360b4e27e3d12ab95ff321ed3380bf,22c3f8da6a9a9244ea0a2dc15205705e91878c54,afc496029f15aeac7f8fadca1c78205e21b43c50f284c20bf28ac56b36231b76,74c299be5018954974469d25c08790243494cfb2a05338ebca5634302883d7c9b35406854e31500d51c2727fd9272808921281345de29f258c44db409de96aae,082c4ea4ae49d95a221fb80808b3ba279f595ec90a43d93a16cbf61b6e9355f4e2e678fd0b67844a1be787ff5c2d7f3409607012c67702032b32676e6459c598
bhop_nextgen,37746841,38fad06d,df1738e9336808a2d3a462c069e61b27,527c4e6df85c07f2b02e353c75fb9a0d8a7cee98,6934b945cba9f3248afecdf28b65c0419194aa3283e521d9d5ae6f3e5c0e49c3,4d7ee538c7da24405f8068a1e44af56eaac6a9491902928e970eb7f6560491e97a51e744c6680211f32ea82c689087a89a8e5aeea3d26dbb3de8b2b34fa1c4da,bcd33497b103c5a28aff2e94cdf0541126c2f7388c5a200d00bee859fb84e3f3f061a0ba446bd98a2f20a6c3ad226e6cb32644d3a3098af3cd94d910a337fefb
