mapname,filesize,crc32ieee,md5,sha1,sha2_256,sha2_512,sha3_512
Surf_Cannons_V1,62732108,9bac26e5,224f68283c69a19bdd9e2dcb5559fa9a,84cead1c1da3ecab54900ffb399cca3385b7ee14,eadf1fc54d31928ea11f5c090d801adae4d5ef120f4199b9198340b8698a8857,30cb36ba3fac0fa337768e966a42c3746e0510fdfccd1b9c707a8703392634b6fb1c99cc9417b684aedb298cc4283eb4023b2402bcf9ab7e10e2bd21eaf95ad8,b8f1f93f5b2a6db989d35fce8d9574c22a5e9e40b50032d98199b45d7384c0ad4a58a010db303753ff419c7cf552cc9bf53d78a47934da5ef2d791901dda4fa6
Surf_Insignia_b1,39732770,59fbd715,87117ed0579ff89491bb1360c2b82ec9,48357070687f3f5dd6f1251de2d9995e1968c49b,b10164291bd0391271973522bf839428f81041328434fbf64dc9e7fc4e97776d,ec915eb94573d29b7852f9996cd6299d41f686b81beda310df8eba8492af04c33e61e115b1deff08ebb1068458bfa173c1d647455c4d0bf97a89ca2f96fff0a5,a2e822ec4697412e0704306980038e9605c31958c6cb9782296f8727d2805a50bcaeea2d67b82b2f9374ced8c81bea8f8f41b0d5e4cfe3efeca99976ee05df0f
Surf_Subster_v2,18806960,7fd1f022,2c1664b45319f7c69c26406f0d19c3dc,77af7dbda19844c1707867c2a2e9f6b70e653ac3,2ad154bad74d6c348f431f62cda995c3225b78f781c8e4da2fe2e3631f0dfe45,e5ccee5879a4fc851d57e8fe47a3888b0a9251dba363b2afb90b6e40f7d9b8c443aca82e3f76e8b81ab6eff70e8a2947d089dc416ba38412e1a7464518036169,2068aadfbaa15d67fcd38d37f16d675324a8332d613d2b0f720b84801254f6195302805ed535d89d6f1916413c5cc73ea75d45c0709621102e9f90891717c2e5
Surf_Swej,5158040,e0ed5185,510e3ff3686152bb33312bdd5941eded,c3285a8929a8d6ad966536dc41468b9f7205d277,7764e3d68ad249385ecca9905798084ca2971e249d7b21a377ad920ad69f88df,96e257ed88cfe1e16761163cf2219d863663d9511a8fd81e0d14a514d3015d683013eb465b1e0bb195486a2c38dab3dd142ed3191fb3a558e782262f525be7de,a8dc9398a056b150d767a09165126c3f2be8a0858c736af0dff86d7e2d8f2582565832cdbfaa5cee481c71d29cf5678b2ec693e617975171ef90bdb46df0c60a
aaa_surf_devnific17,5880204,9af5b14a,4c5831ab38b735b0474883f21b3f7565,2d740c71547835bbd111238a4539d44649ef18d4,b197d7e3fb33f831faf76510cba1f62ae79083f227755cefe90bcf173bc11c50,14ae9c53469818a202eba3ae29c20f6aaeebba06c32fb65ec08da6cf953a230d0b00d6c8005240dbeb8c3533f66aec6c4bab06a730355a45dd4a70cb7d66a373,a3ca0365d10aa6408908f98f41c6b2e3cf7d6fdd49055d9f8ede7c51da12c9bf0e4a15da25ade5ae0795b427377f993b87621f74f271d4705ef3223d8a458e93
surf9,14022960,9b22f3b6,284bffb598eff4e24172d9e6b17bf366,fd55fa150f6f9d34a3e9e20dc194e6f02b2997a6,e37862e1e2cc553909e604415427d7abf6d6a780b720876729c16aaa0a601c4c,5e243fedb0033340cca67cd5b38b53993f47aaa60a5b3d3dec0be08da521924485622ff2386dbeb3bb272b2a900387d4da873d8154246762f0c39d954dc6f7c6,828bf009ca722d850456a97933fedd554e136f329a7aee2d8cbf73e406b4c1960d4b963b497ea269d97651191472665363fc0ba03c52509e1e36632cbe3065d4
surf_004_fix,16221912,edacda7c,45a8a5d1d65a9c43d02aaa7921e344ec,c94e88c76ed08fdd80d25ac8e58505324b5f973d,f555e718b1cfa5e38de65109bd3d9ef12308389507b8c6086a10b15ef096f645,73d3cd8242ad609614cb04e99612723e04ab97617bf753f9928272acabae7c01d3a9070a39d065d6dc0cfb55e378655b1635a05e78d6c1ff5fa26d257b381c31,b79b6aa278b21d16fb6cdc2f816ebe50d594f0e62ce4c94039d69b3d321b3e640418e113782f47e5158c8472d1a4078f3b0ebd2d7b5f1d08c65f8b0183ed9d30
surf_10x_final,15962572,cc742629,ce860a58e7ee30e481265c272c911c0c,05db779a1fb27fc43c15c2fb13beac61b875cb70,8bdc37c7e420d942dfe8347e8e13d17f3f588aca5212c7b50c323cebf066bd38,61df0ded2df30e7d4385f9cbc190094a3becf07b0f8a24a68ed4827ae120f1dcfa9df319eb3ca68a8f17d935aa06317ab00fcc93471d54f1bde0a27f9508dd8f,f125a264598158a4ea8a281a7c04f282cddc8293269515e79c470df80a58c4a575bab8ee2451fa3c17c9a72811f412a3055eba226bff1afe101c543ab771c2c5
surf_10x_if2,16181784,bc93b449,8bae2cfcf81f1252f1928e58fc0b4227,1b58f1588b19f21534680d6baa2ffecfb897f236,a65d847728604a3ad36f8a647305d2af26c158141a3910e056576c9a0b6cc9c7,a07de7a674238331eee750730f3db54ec52c87b335de625a3a24af9f67e99d1fb98953a192b25c5dd20d759c4f7be5043e8e959efcdd9aaf6a23e0e8d656a63e,03c5df5b794f465d01f32e9dd8e8fa4e330f31142f41501b1b3e6543d59a2cd886346f03b8dd778233b33521bf72b4784f2ab7fa24135ca4d1e6794696739893
surf_10x_reloaded,2946499,b7f513fa,d15242309b042b4b8c10ed20db4dc731,8fc36c2ace5e84fe8fdecde6ebf64c43aa50e9e3,670a86b28671e133837bbe58f6abd194fbf47e0a4a1f60ce5e4a3b3a3f6d287a,4f91044cd5c3cf5e0004831f9b27334d024ebfcabdaf2a56849de137c6134c0122ef53a527c148b543b09b75de33c8c07583d4ca06adc7a48fa810b06c0e7d1e,40610e3f4ef7ea74c65d01e7550d75e97f859af10db297a03fdbb539dda3fe225b394d05e6b5ab45249a992e9748afad3fd66d5968bad19100a9ebef46f94654
