PS E:\bm\fastdl\hasher> cargo run --release
   Compiling hasher v0.1.0 (E:\bm\fastdl\hasher)
    Finished release [optimized] target(s) in 1.87s
Hashed ebbfeeab870759492b837846b3d2323206e675761ca9ebcd90822b5d52bca0838761c0f63f39c8f44dbfe7ea873f0be48f900af7837adb5a3a05f35f18b7e935 in 0.0067882s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\AnubisAxor_area_v1.bsp
Hashed fdb018384163c619ffc4e97071a0e62f342cee3380b6c5503e6205947c9e630df34908992f1bd135dd9102b143af042e308d9fc7c9b138d7d12aa5cf1ff046fc in 0.0036571s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\BHOP_ItsDark.bsp
Hashed 531a02b2ca880e3a69376f93ee70e144792cf073d8f2ff5664958da8e21b42fb2f2639134f3256eaa24038605968f4749f8eec310336a8669865822b8993e654 in 0.0219537s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\Bhop_1st.bsp
Hashed c04d51d6635fc07328d8612bbe5b521cb2bd7d6d76eb18dc785185981c8e0c5494bc1b395dd3162dcad662f90e66c149c6ac31f7c798ce2e49716911f595bb46 in 0.0404530s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\Bhop_CopyAndPast.bsp
Hashed b3e13a3db17d32eed3b789dd752c7e98d485adc070b451ef138948865e894d61b744c85a7a262501db2a4c5996d14857b72d93d67de5ac1d2a157c1956550f77 in 0.1903814s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\Bhop_FreedomPuppies_v2.bsp
Hashed 5144938ef24ad7c091eca25d15345eeefe8faffd243b966d5217de18ac39dcdc476b71cc19512368b67810439615a2ed673f05f0ae5910fc57721a1d907b583e in 0.0055190s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\Bhop_Frighten.bsp
Hashed 41229e466a646b4b19143deca792bff5236359cd18923e37479c0af31fae55db39a8ef068536459576369ca6de7f193bc9a4584f9b96a3b1f20e005fbc75c625 in 0.0188452s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\Bhop_GameExe.bsp
Hashed 910d40af7cc433ba55f5b62aa5363c9afa818538ae8648b26cf1266178221eba9e681082c6519f988023ba7b8991db761c9f5bc5f821235b6b8fbbc400b04c68 in 0.0367510s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\Bhop_Lory_alpha.bsp
Hashed c6e47c62645293348617c595dfc9a27d4f835740aa609a32fd0cd985c1d6f6388ef1dd7981b5a66c8e00c6989381cb273218e59bef81c3c11423a4ffc919b823 in 0.1662999s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\Bhop_Mampu_V2.bsp
Hashed 5f7c94e0c7fc3bedb235c17463c34cfc8f0c4234f68420c4710f44dd14979191b3248a4eb8ab6e0f4e6891ee67e5d4b12efcba2a36ff7b9c3641db7573f3d41c in 0.2107775s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\Bhop_Minecraft_Winter.bsp
Hashed 7e761a01c3416562d60599e0dc8b66ece73462ac2e083bec97929b416128c941f05bf2bb91c059163ea16a08b9a60b899d7ec6b7a4cf27886c48eb22e22f3acc in 0.0348052s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\Bhop_Needname_V7.bsp
Hashed a3b384d734e03c16789527bcf11d557a2caffea6f4c1f18921dcc2fb7cc5c7846d4fc0dab491b24f9f37353ad0b23a24858126bded218c8743d042b0534701ea in 0.0658612s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\Bhop_Needname_V7_light.bsp
Hashed 7678960f43783c6b394d4821e404b178b7e3165a5dbeecc797c3075c481e412f319906ec2e11fb773766bbc63eece4af7491ffc764d3eb85c1995a6e53d0a49c in 0.0118616s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\Bhop_Om.bsp
Hashed c5dd917f6421bcd7217f77136fcaac7540cb9bab0f44573d7f03867959d0c3dd06675c797ad640b8dce9465549f18b81a6eecd2cb57cd09917d71e3ea6a82895 in 0.0167066s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\Bhop_Onyx.bsp
Hashed b51be129a0c418b3fa6856d1eedbe1647537b89bd853340bfc2d91dd76499606b83ea7916a97d444bc3099220045392466876208681ae0f71ad303b5388b1854 in 0.0013834s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\Bhop_Opt1.bsp
Hashed e605fb68bb07f4bf3407b7f08c3f73e91d75e36c012200d691f05b5fec7f153b5de6a417bb2b5a3e42659f4d2b25253e3f1df30aa2a81fc7f01f027c1c79fc65 in 0.0267792s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\Bhop_Redwood.bsp
Hashed d68176d2e57aa51c115a0e9611e262c5a75d73dc753e709382a6021e5c6047111ef27311426be63a72c40ca3769074c74ea7d52be038e3c5a282cc562c545a60 in 0.2228379s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\Bhop_Smokee.bsp
Hashed 1a3788ff370472708dfeaac864018f5c5c59f9c8cc7124a7ca8140bb54026c7e3edb46246558c2c6f10767c9660b15b95bbacbc3d0f1052f3a9f01fe20fbc8d9 in 0.2458799s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\Bhop_Smokee_beta.bsp
Hashed b08e59881582b1251898d8d4d3a511aa080e5c2cb38bed3ee60a23e0cbac06faaf3b80fdb42b028a6a8ff6d77198927d56930d0d4e4a5d90808dd19e6de0ccb1 in 0.0099600s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\Bhop_Spike_Beta_test.bsp
Hashed ca090c230b68c3714f3d2bb5d748c00756d5a3549cc6cf1528172ad04d58c79960597f23264412b44718b6ca5e5d36ff822bb3ab9a5f8b87ba4c916f0d18d77a in 0.0076253s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\Bhop_Stages_WHAT.bsp
Hashed 8380c60e9ab15359b15ee913ee6e566588b2bcdd4a4570a93a656e40b62979c6f786036f854115557fe855067ba334c9b9fb9cbbba8dd667941a462b0201919e in 0.0316179s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\Bhop_Strider_Final_b14.bsp
Hashed 4516ee4ff123c083d64ab4fd8210e4cfbb3f2c6e998c80b0e6b77ac3289b924c415ef7610d41824fa9b111eadf4be277116759281a57293a1576aa6c581cd53f in 0.0334838s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\Bhop_Strider_v3.bsp
Hashed b83d90b66809a49b929eabb2a2cb23039097648c6dbe86a7f8f97f1e3d600146dd540ce0a4ca622238054e024f087ef90cf21af0014a00867e9700914cdf7bc7 in 0.0026316s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\Bhop_Testttt.bsp
Hashed 2876f71a9b3774f80866633ce316eb4b2dae42f1cd8a174f01179c2a3ea90265adcecd94883f0270bc30cf934adb55758f6c9fc968ad6b4307fa4e8b55940821 in 0.0053419s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\Bhop_Tigger.bsp
Hashed e89c56cc965dada9487d76523b1027afc9194095c24a142f7e5c59d024975a871ca9f8260a3975872544f0dafd899e32080de2b0dfe70d8a63c1e13d8c012fce in 0.0799563s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\Bhop_Zadrofun.bsp
Hashed 08cd7dc0c06d5b6f8a11f28439f4c11f4bcb531f4a5672e9b45c2c59c89124549659ec544dd4005f577af0af64cfc8ab85c894a826b567a4c6cd98ab06a8b5bc in 0.0251588s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\Bhop_cyber_beta3.bsp
Hashed 9701a4a45944204592dbc417570b52138e9da36763564c6eb3e1f12c64a16c3e096f016cbdb3ae1f0fcd4f0a2e304eac0242b8cad6a2479a1ae1c4a150b81b6a in 0.0056895s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\Bhop_easykaz.bsp
Hashed effcb8ba4b4c727211761f9d952a4a9d0ae47ca5249b86d986725a3ee7e35bfbe5c50594e1396d75b2989b26d54e0378c2e0d9602cb12ee81f751592f4324550 in 0.0686452s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\Bhop_hard_out.bsp
Hashed 8cfc4ef3751ea9faec8c994861c05d03acb3038b6fd538d6eb03d32b123c092d33f3abdf1f5328d734db00d3c7f738fe9c1bc0f0820c460425fc15046298adff in 0.4640440s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\Bhop_insomnia_final.bsp
Hashed 1459a92f582f7b67092e97acea8b897e3b4b618d131e95e80c68380640bf9fd401d0cb1cc97e8698e40c2013122f486323bbaa134ec0203e59c76ead2fb360c5 in 0.1131360s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\Bhop_long_hop.bsp
Hashed 3327ac75510fbaeaa7e0c42f43293ff103ed352908be1c8e8b25cb18a223da6a2ea5949524dfdab9609a775d7b0aa881cd685654b745f0fcd6deccde8fed4ef6 in 0.0162046s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\Bhop_neon_fun_V1.bsp
Hashed 233497e9059d69c0725598e4dc42bc6976deabe59c783319ca10e16cfcc2b870c0894d646c7d624ffa3fba004b03f3b818ef8fe2d78b497d1f16fd8d83fc6987 in 0.1531606s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\Bhop_phew.bsp
Hashed d4f7fbc0cbe4f3924e511040bb8742a56f0feb57781f6f649bf23e6c04d86dc386b06c1a574856347df59b1b855e8c587de4e30661fd4af5b8e30d5b1054b549 in 0.0254155s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\Bhop_redwood_v2.bsp
Hashed 0b6224ae30f13552c85de3a798feca4d7fc969c8db7c3b4b1b3513372cdc8ed1b25c47b3a4a4b4c8d4241a67fbfe69642dd90e29444d170e95807bc408e568fd in 0.0719358s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\Bhop_semeroe.bsp
Hashed 384922747f596487e663618b82af6d3096f2f4e45985aa63f9a11b6ed599cbb8b2842248e688ec8f3f3f1a20a854b467f00f228f8481ccf4c4358a98bf90ee4f in 0.0335104s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\Bhop_semeroe_v2.bsp
Hashed f6b3acea45a7fd6f60ecaa5b260a5581aa9954a2ba7cca3663f1d3c056237f995a66e51f9a7372ff12034276755522bcf220028cb8f3c5d864fc6ad6686f0114 in 0.0259846s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\Bhop_sk_world_beta.bsp
Hashed 03bd2a2262905f43493032fc5038d857dd226b9f926d01ca46edb5c8d9737fffbd5ce87ea68a049c739bb1193db34e22c6b816f5dc1096feefaaf1a60d92ba34 in 0.0165724s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\Bhop_small2.bsp
Hashed 3965b0a8a31bda916e94cb6bc3fa823fe52763673d18994880773e655f03c3d80709dc798a9210c4bd6d587a82f3d6458a396ba0a9ce70f7515154cfc59b219f in 0.0046725s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\Bhop_strafe_heHe.bsp
error: process didn't exit successfully: `target\release\hasher.exe` (exit code: 0xc000013a, STATUS_CONTROL_C_EXIT)
PS E:\bm\fastdl\hasher> cargo run --release
    Finished release [optimized] target(s) in 0.14s
     Running `target\release\hasher.exe`
Hashed 9697f28b1f3b153364beb178027f378fb74f9352a3b60a68aa482eb72cec31dd6abff2572645585a39f776f816ff58ac078c7b5a203b599f63ed99d35b38c705 in 0.0475690s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\$2000$_azaza.bsp
Hashed c04d51d6635fc07328d8612bbe5b521cb2bd7d6d76eb18dc785185981c8e0c5494bc1b395dd3162dcad662f90e66c149c6ac31f7c798ce2e49716911f595bb46 in 0.0368552s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2222\Bhop_CopyAndPast.bsp
Hashed e992412ad28a55b2707dfbbb11029efa8678f8ef524cdf3f367d064dc0aa69b084b3ba4795975251a0649ee552152a83cea988cb9ec14a5a8166d948b88df911 in 0.1081373s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2222\bhop_badtrip_v1.bsp
Hashed 318a766ac9234f4edb8ba9d3a59dcc1ef228dbc88dbdb6f3aa5005de5adf018fa4d431fbe70a58cccf995aedcfa99485da5a21f41f68d51f5b5a4035f53d7534 in 0.0416519s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2222\bhop_cobblestofcuijkw9efn2g4.bsp
Hashed 148cf7ff065f5b2f20145bcc7fd09a1731af6b0cf43f6a5e640272acd55ce2154795b8f9c754bc0058412d0c3c7411c4cf358893bd01712b90989a38f76be4f6 in 0.0254670s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2222\bhop_easyhop_benghaziedition.bsp
Hashed 8e9c5f3a5e8ce111b51c109b58a7ce36da1ccdf6bed7c5c201d1fbb9d6543c56497baae58e04070d50792b8e73354dadd22afd7bd9ce3cb5b5f02a61e52e62d9 in 0.0012188s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2222\bhop_kz_xc_mg_jb_de_cs_surf_aim_lj_bkz_270.bsp
Hashed 5bcd635f4bc68d940d5f4cfe346b95ba608063d4b374e834581cd659fc0772bc2789fd1deefad6208132b7d7660291083a689d71e24b7e2def6f8fe685b9a2c9 in 0.1912943s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2222\bhop_minecraft_winter.bsp
Hashed 0e1ff50919546b1da5e1da799d38a713a2f6cea4efa6cec5e7e58fd6eea13bca1b4f2418e48134875400e2600bdb7ebeed651e387ae962f9dc7373e5236091c0 in 0.0177572s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2222\bhop_novice_beta.bsp
Hashed 650fa0556e714e9ae54d58c03b2d3a043c905154a422cab56f5763a25cc43556edaa8defa13f97d0b7467f99e4a86f45dc31474470e2ad7ccd01ee056336d88b in 0.0127071s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2222\bhop_ofswgok.bsp
Hashed 4b24f9c9d670a01c8a27ab0c663c69380e8cfa4308d57334a15e8b8c3b89b67dbb49241cc47f0f67dc54b0e789e3e4b9a6e9f80532bc18b7ed5f0ed956c23a57 in 0.4223486s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2222\bhop_rand0m_gm_c546ac20\bhop_rand0m_gm.bsp
Hashed 213161e8a78e44b93561b7285b1ee3518c3049d2529d3e913f870b73f41542e9af3894901dfa7af99d47697556587f33fbe8f542a0a1d236fb2826fc949b38e7 in 0.4340885s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2222\bhop_rand0m_gm_eda61128\bhop_rand0m_gm.bsp
Hashed 8593141ccbfd20bb3cbbf8f916dd1f93f591c372ba47b16526c495dc79fd881872d5df037a21ede8fb6b44fbe5d3a12945f9527a2526d021650bf67c95c44b50 in 0.2783069s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2222\bhop_stormy_night.bsp
Hashed e81c13a496faa5334f584683cf967d46e5f3bfab47fcae34bb4a283a6691213208a056ec72a1734c26d0737b9ad378b6b82146423269822948c8f0f3053fedbe in 0.3256204s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2d_super_mario_bros_d.bsp
Hashed 96e97d4bd9407b73883b9750765df93679bd0d9472688abb14c007b65b83104eb6feefb18cb4d4917436e8fc0dde99c2b806d874156dd17f00a8d7fb73e7acb8 in 0.0689592s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2hotels1map.bsp
Hashed 1089ce179ec1bb6ad915f33452eb8ed3034b7af208d5f9d07506276ce4945209c5a989232a314e0977048c9a85af15782bf2e299a357dc3cd40b4bc718bdd540 in 0.0015293s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\333_perfection.bsp
Hashed cd521f9f971eaefacbda3c7a9bea44a226690df52af66bada2adcca52ed14d112f67a14d722c1d21f6894603b8ed96c59fdc63b914bcab7bfb1d6c6ecb681b77 in 0.0023979s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\338.bsp
Hashed e789b6338e04aa6643800ae89ce43022ec5c82c008bbefd7319488db888091e67ec7444475f945b731ea12bb3d9ae52617ed9d88a5205889b1b4691187da4401 in 0.0042417s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\3k_jumpline.bsp
Hashed 8638e0d6839ff163dd295d9be99923da0e9e32d907fc4b307f9d0cc681c65842d7e8951a9199ed3530612862e612c086250bb82983bd03ee97a5ea7a2230644b in 0.0107871s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\3mc_training_v2.bsp
Hashed 302d8d4a0f862936053bb7fe420aeb02c1499925ebe22585b52680d95bec90f976cc9f5d517a41d9c5569a78c7a3618ff19b75f5c9cbe9a6bb3091d0b43c97d4 in 0.1789908s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\66tbhop_spi_bon3r_a04.bsp
error: process didn't exit successfully: `target\release\hasher.exe` (exit code: 0xc000013a, STATUS_CONTROL_C_EXIT)
PS E:\bm\fastdl\hasher> cargo run --release
   Compiling hasher v0.1.0 (E:\bm\fastdl\hasher)
    Finished release [optimized] target(s) in 1.94s
     Running `target\release\hasher.exe`
Hashed 9697f28b1f3b153364beb178027f378fb74f9352a3b60a68aa482eb72cec31dd6abff2572645585a39f776f816ff58ac078c7b5a203b599f63ed99d35b38c705 in 0.0461668s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\$2000$_azaza.bsp
Hashed c04d51d6635fc07328d8612bbe5b521cb2bd7d6d76eb18dc785185981c8e0c5494bc1b395dd3162dcad662f90e66c149c6ac31f7c798ce2e49716911f595bb46 in 0.0380622s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2222\Bhop_CopyAndPast.bsp
Hashed e992412ad28a55b2707dfbbb11029efa8678f8ef524cdf3f367d064dc0aa69b084b3ba4795975251a0649ee552152a83cea988cb9ec14a5a8166d948b88df911 in 0.1259631s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2222\bhop_badtrip_v1.bsp
Hashed 318a766ac9234f4edb8ba9d3a59dcc1ef228dbc88dbdb6f3aa5005de5adf018fa4d431fbe70a58cccf995aedcfa99485da5a21f41f68d51f5b5a4035f53d7534 in 0.0415790s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2222\bhop_cobblestofcuijkw9efn2g4.bsp
Hashed 148cf7ff065f5b2f20145bcc7fd09a1731af6b0cf43f6a5e640272acd55ce2154795b8f9c754bc0058412d0c3c7411c4cf358893bd01712b90989a38f76be4f6 in 0.0201214s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2222\bhop_easyhop_benghaziedition.bsp
Hashed 8e9c5f3a5e8ce111b51c109b58a7ce36da1ccdf6bed7c5c201d1fbb9d6543c56497baae58e04070d50792b8e73354dadd22afd7bd9ce3cb5b5f02a61e52e62d9 in 0.0008864s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2222\bhop_kz_xc_mg_jb_de_cs_surf_aim_lj_bkz_270.bsp
Hashed 5bcd635f4bc68d940d5f4cfe346b95ba608063d4b374e834581cd659fc0772bc2789fd1deefad6208132b7d7660291083a689d71e24b7e2def6f8fe685b9a2c9 in 0.1958637s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2222\bhop_minecraft_winter.bsp
Hashed 0e1ff50919546b1da5e1da799d38a713a2f6cea4efa6cec5e7e58fd6eea13bca1b4f2418e48134875400e2600bdb7ebeed651e387ae962f9dc7373e5236091c0 in 0.0181344s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2222\bhop_novice_beta.bsp
Hashed 650fa0556e714e9ae54d58c03b2d3a043c905154a422cab56f5763a25cc43556edaa8defa13f97d0b7467f99e4a86f45dc31474470e2ad7ccd01ee056336d88b in 0.0112207s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2222\bhop_ofswgok.bsp
Hashed 4b24f9c9d670a01c8a27ab0c663c69380e8cfa4308d57334a15e8b8c3b89b67dbb49241cc47f0f67dc54b0e789e3e4b9a6e9f80532bc18b7ed5f0ed956c23a57 in 0.4469573s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2222\bhop_rand0m_gm_c546ac20\bhop_rand0m_gm.bsp
Hashed 213161e8a78e44b93561b7285b1ee3518c3049d2529d3e913f870b73f41542e9af3894901dfa7af99d47697556587f33fbe8f542a0a1d236fb2826fc949b38e7 in 0.4489263s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2222\bhop_rand0m_gm_eda61128\bhop_rand0m_gm.bsp
Hashed 8593141ccbfd20bb3cbbf8f916dd1f93f591c372ba47b16526c495dc79fd881872d5df037a21ede8fb6b44fbe5d3a12945f9527a2526d021650bf67c95c44b50 in 0.2666475s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2222\bhop_stormy_night.bsp
Hashed e81c13a496faa5334f584683cf967d46e5f3bfab47fcae34bb4a283a6691213208a056ec72a1734c26d0737b9ad378b6b82146423269822948c8f0f3053fedbe in 0.3539057s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2d_super_mario_bros_d.bsp
Hashed 96e97d4bd9407b73883b9750765df93679bd0d9472688abb14c007b65b83104eb6feefb18cb4d4917436e8fc0dde99c2b806d874156dd17f00a8d7fb73e7acb8 in 0.0715514s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2hotels1map.bsp
Hashed 1089ce179ec1bb6ad915f33452eb8ed3034b7af208d5f9d07506276ce4945209c5a989232a314e0977048c9a85af15782bf2e299a357dc3cd40b4bc718bdd540 in 0.0020072s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\333_perfection.bsp
Hashed cd521f9f971eaefacbda3c7a9bea44a226690df52af66bada2adcca52ed14d112f67a14d722c1d21f6894603b8ed96c59fdc63b914bcab7bfb1d6c6ecb681b77 in 0.0031370s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\338.bsp
