PS E:\bm\fastdl\hasher> cargo run --release
   Compiling hasher v0.1.0 (E:\bm\fastdl\hasher)
    Finished release [optimized] target(s) in 1.87s
     Running `target\release\hasher.exe`
Hashed 9697f28b1f3b153364beb178027f378fb74f9352a3b60a68aa482eb72cec31dd6abff2572645585a39f776f816ff58ac078c7b5a203b599f63ed99d35b38c705 in 0.0462105s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\$2000$_azaza.bsp
Hashed c04d51d6635fc07328d8612bbe5b521cb2bd7d6d76eb18dc785185981c8e0c5494bc1b395dd3162dcad662f90e66c149c6ac31f7c798ce2e49716911f595bb46 in 0.0374416s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2222\Bhop_CopyAndPast.bsp
Hashed e992412ad28a55b2707dfbbb11029efa8678f8ef524cdf3f367d064dc0aa69b084b3ba4795975251a0649ee552152a83cea988cb9ec14a5a8166d948b88df911 in 0.1139546s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2222\bhop_badtrip_v1.bsp
Hashed 318a766ac9234f4edb8ba9d3a59dcc1ef228dbc88dbdb6f3aa5005de5adf018fa4d431fbe70a58cccf995aedcfa99485da5a21f41f68d51f5b5a4035f53d7534 in 0.0417346s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2222\bhop_cobblestofcuijkw9efn2g4.bsp
Hashed 148cf7ff065f5b2f20145bcc7fd09a1731af6b0cf43f6a5e640272acd55ce2154795b8f9c754bc0058412d0c3c7411c4cf358893bd01712b90989a38f76be4f6 in 0.0200882s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2222\bhop_easyhop_benghaziedition.bsp
Hashed 8e9c5f3a5e8ce111b51c109b58a7ce36da1ccdf6bed7c5c201d1fbb9d6543c56497baae58e04070d50792b8e73354dadd22afd7bd9ce3cb5b5f02a61e52e62d9 in 0.0008787s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2222\bhop_kz_xc_mg_jb_de_cs_surf_aim_lj_bkz_270.bsp
Hashed 5bcd635f4bc68d940d5f4cfe346b95ba608063d4b374e834581cd659fc0772bc2789fd1deefad6208132b7d7660291083a689d71e24b7e2def6f8fe685b9a2c9 in 0.1889757s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2222\bhop_minecraft_winter.bsp
Hashed 0e1ff50919546b1da5e1da799d38a713a2f6cea4efa6cec5e7e58fd6eea13bca1b4f2418e48134875400e2600bdb7ebeed651e387ae962f9dc7373e5236091c0 in 0.0190528s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2222\bhop_novice_beta.bsp
Hashed 650fa0556e714e9ae54d58c03b2d3a043c905154a422cab56f5763a25cc43556edaa8defa13f97d0b7467f99e4a86f45dc31474470e2ad7ccd01ee056336d88b in 0.0116168s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2222\bhop_ofswgok.bsp
Hashed 4b24f9c9d670a01c8a27ab0c663c69380e8cfa4308d57334a15e8b8c3b89b67dbb49241cc47f0f67dc54b0e789e3e4b9a6e9f80532bc18b7ed5f0ed956c23a57 in 0.4639524s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2222\bhop_rand0m_gm_c546ac20\bhop_rand0m_gm.bsp
Hashed 213161e8a78e44b93561b7285b1ee3518c3049d2529d3e913f870b73f41542e9af3894901dfa7af99d47697556587f33fbe8f542a0a1d236fb2826fc949b38e7 in 0.4415100s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2222\bhop_rand0m_gm_eda61128\bhop_rand0m_gm.bsp
Hashed 8593141ccbfd20bb3cbbf8f916dd1f93f591c372ba47b16526c495dc79fd881872d5df037a21ede8fb6b44fbe5d3a12945f9527a2526d021650bf67c95c44b50 in 0.2584139s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2222\bhop_stormy_night.bsp
Hashed e81c13a496faa5334f584683cf967d46e5f3bfab47fcae34bb4a283a6691213208a056ec72a1734c26d0737b9ad378b6b82146423269822948c8f0f3053fedbe in 0.3574602s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2d_super_mario_bros_d.bsp
Hashed 96e97d4bd9407b73883b9750765df93679bd0d9472688abb14c007b65b83104eb6feefb18cb4d4917436e8fc0dde99c2b806d874156dd17f00a8d7fb73e7acb8 in 0.0706097s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\2hotels1map.bsp
Hashed 1089ce179ec1bb6ad915f33452eb8ed3034b7af208d5f9d07506276ce4945209c5a989232a314e0977048c9a85af15782bf2e299a357dc3cd40b4bc718bdd540 in 0.0043148s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\333_perfection.bsp
Hashed cd521f9f971eaefacbda3c7a9bea44a226690df52af66bada2adcca52ed14d112f67a14d722c1d21f6894603b8ed96c59fdc63b914bcab7bfb1d6c6ecb681b77 in 0.0023798s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\338.bsp
Hashed e789b6338e04aa6643800ae89ce43022ec5c82c008bbefd7319488db888091e67ec7444475f945b731ea12bb3d9ae52617ed9d88a5205889b1b4691187da4401 in 0.0040788s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\3k_jumpline.bsp
Hashed 8638e0d6839ff163dd295d9be99923da0e9e32d907fc4b307f9d0cc681c65842d7e8951a9199ed3530612862e612c086250bb82983bd03ee97a5ea7a2230644b in 0.0103086s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\3mc_training_v2.bsp
Hashed 302d8d4a0f862936053bb7fe420aeb02c1499925ebe22585b52680d95bec90f976cc9f5d517a41d9c5569a78c7a3618ff19b75f5c9cbe9a6bb3091d0b43c97d4 in 0.1910251s -- E:/bm\fastdl\sojourner.me\fastdl\maps_bsps\66tbhop_spi_bon3r_a04.bsp
